ID	STRUCTURE	FREQUENCY	Arhuaco	Bari	Boruca	Bribri	Buglere	Cabecar	Cacaopera	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	LencaHonduras	LencaSalvador	Malayo	MalekuJaika	Mayangna	Miskito	Ngabere	Pech	Rama	SanBlasKuna	Teribe	Ulwa	COGNATESETS	CONCEPTS
96-3	C	3	ɾ	Ø	dʒ	dʒ	Ø	dʒ	Ø	j	h	ɾ	Ø	Ø	Ø	Ø	-	tʃ	Ø	Ø	-	Ø	Ø	Ø	-	Ø	399:4, 1015:2, 1231:0	drink (v.) / green / large
114-3	C	3	ɾ	Ø	Ø	Ø	tʃ	Ø	Ø	ɾ	-	ɾ	l	Ø	Ø	Ø	ɾ	Ø	Ø	Ø	Ø	Ø	Ø	t	Ø	Ø	682:1, 970:3, 1159:3	fasten / man / mountain
228-1	C	1	ɲ	Ø	k	-	g	-	m	w	-	n	-	k	Ø	Ø	ɲ	-	k	Ø	-	Ø	Ø	-	ŋ	k	1298:2	cloud
157-7	C	7	Ø	n	b	b	b	b	p	n	n	-	-	b	p	Ø	n	Ø	p	Ø	m	Ø	Ø	p	Ø	p	99:1, 219:0, 638:0, 852:0, 1082:2, 1368:2, 1360:2	cry (v.) / ear / fasten / father / feather / hit (v.) / salt
95-5	C	5	Ø	b	b	p	b	p	b	b	b	b	b	v	p	p	m	Ø	b	b	b	Ø	b	p	Ø	b	209:2, 226:1, 289:2, 359:0, 883:0	blood / come (v.) / earth / salt / worm
127-5	C	5	Ø	s	t	Ø	Ø	Ø	s	s	tʲ	s	-	Ø	s	s	n	ɬ	s	s	Ø	s	Ø	n	Ø	s	209:0, 385:0, 459:1, 682:3, 1212:0	I / black / fasten / green / salt
68-4	C	4	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	h	h	Ø	Ø	Ø	Ø	Ø	h	1186:4, 1351:2, 813:3, 837:2	fire / sand / white / yellow
108-4	C	4	Ø	b	b	b	b	b	Ø	b	Ø	m	b	Ø	Ø	Ø	b	Ø	Ø	Ø	m	Ø	p	p	Ø	Ø	256:3, 938:0, 1040:0, 1095:1	far / liver / mother / snake
75-3	C	3	Ø	Ø	Ø	Ø	k	Ø	Ø	n	h	Ø	b	Ø	ɾ	Ø	m	Ø	r	Ø	ɾ	Ø	ɾ	Ø	Ø	r	700:1, 1215:2, 941:2	black / four / liver
89-3	C	3	Ø	Ø	Ø	Ø	Ø	Ø	l	Ø	Ø	ʔ	Ø	Ø	j	ʃ	Ø	Ø	l	Ø	l	ʃ	ɾ	Ø	Ø	l	809:2, 883:2, 1401:2	dog / flower / worm
93-3	C	3	Ø	Ø	Ø	-	g	-	k	Ø	k	n	Ø	Ø	n	n	Ø	ŋ	n	n	n	k	k	Ø	Ø	k	361:2, 385:3, 799:0	come (v.) / green / this
103-3	C	3	Ø	n	Ø	ʔ	Ø	-	Ø	ɾ	tʲ	ɾ	Ø	Ø	Ø	Ø	Ø	Ø	ɾ	Ø	Ø	ɾ	l	ʎ	Ø	ɾ	140:1, 238:2, 846:4	dry / laugh (v.) / sand
55-2	C	2	Ø	Ø	Ø	t	Ø	-	tʃ	Ø	Ø	Ø	Ø	c	Ø	t	Ø	Ø	Ø	-	tʃ	Ø	Ø	Ø	t	Ø	581:1, 1383:0	sing (v.) / small
59-2	C	2	Ø	Ø	-	ʔ	Ø	-	Ø	Ø	s	Ø	Ø	Ø	n	n	Ø	n	Ø	Ø	Ø	Ø	ŋ	-	Ø	Ø	778:2, 801:2	he / this
100-2	C	2	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	n	n	Ø	Ø	Ø	Ø	Ø	n	345:2, 700:3	four / you (plural)
160-1	C	1	Ø	Ø	Ø	-	Ø	h	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	z	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	115:2	few
172-1	C	1	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ʝ	Ø	Ø	Ø	j	-	Ø	Ø	Ø	659:0	with
173-1	C	1	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	h	Ø	Ø	Ø	ʒ	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	682:4	fasten
179-1	C	1	Ø	Ø	Ø	Ø	Ø	Ø	m	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	p	Ø	Ø	p	Ø	Ø	Ø	p	749:0	tree
186-1	C	1	Ø	Ø	Ø	Ø	s	s	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ʃ	Ø	794:0	at
187-1	C	1	Ø	k	Ø	Ø	Ø	Ø	Ø	Ø	n	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	k	Ø	Ø	796:0	at
189-1	C	1	Ø	-	k	-	k	s	Ø	-	Ø	k	Ø	g	Ø	-	s	x	-	Ø	-	w	m	Ø	-	Ø	825:2	cold (temperature)
194-1	C	1	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	t	Ø	Ø	Ø	t	Ø	Ø	Ø	t	Ø	s	n	Ø	Ø	938:2	liver
195-1	C	1	Ø	Ø	Ø	Ø	w	Ø	Ø	b	β	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	941:4	liver
196-1	C	1	Ø	Ø	d	d	Ø	d	Ø	s	s	Ø	-	d	Ø	Ø	Ø	Ø	Ø	Ø	k	Ø	Ø	Ø	Ø	Ø	956:0	bird
197-1	C	1	Ø	n	Ø	Ø	d	Ø	Ø	ɾ	n	Ø	Ø	Ø	Ø	Ø	Ø	ɾ	Ø	Ø	ɾ	Ø	Ø	l	Ø	Ø	978:2	bone
198-1	C	1	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	j	Ø	Ø	s	Ø	-	Ø	j	991:2	smoke (substance)
208-1	C	1	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	m	Ø	Ø	Ø	m	Ø	1091:0	mother
209-1	C	1	Ø	Ø	b	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	j	Ø	Ø	Ø	-	Ø	1091:1	mother
215-1	C	1	Ø	n	Ø	dʒ	Ø	dʒ	n	r	s	d	Ø	n	n	n	Ø	t	n	Ø	Ø	t	t	Ø	n	n	1202:0	nose
216-1	C	1	Ø	s	Ø	k	Ø	k	-	ʃ	k	-	Ø	-	k	ɾ	Ø	k	-	Ø	Ø	s	k	Ø	-	k	1202:2	nose
217-1	C	1	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	m	Ø	-	Ø	Ø	Ø	-	Ø	Ø	Ø	d	Ø	p	Ø	Ø	b	1215:0	black
219-1	C	1	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	k	Ø	Ø	Ø	k	Ø	Ø	Ø	n	Ø	ŋ	Ø	Ø	s	1215:4	black
239-1	C	1	Ø	Ø	Ø	d	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	m	Ø	Ø	Ø	1373:4	white
8-2	C	2	z	-	ŋ	ɺ	-	ɺ	Ø	ɾ	s	ŋ	-	l	l	l	n	ɾ	h	Ø	-	Ø	ŋ	ɾ	ŋ	k	17:2, 605:2	ash / heavy
17-2	C	2	z	d	b	Ø	b	Ø	Ø	t	s	Ø	-	Ø	Ø	Ø	ʒ	x	Ø	Ø	-	ʔ	s	p	Ø	Ø	586:0, 835:1	sand / sing (v.)
31-2	C	2	z	ʃ	-	-	Ø	h	s	Ø	s	Ø	ʒ	s	Ø	h	-	-	ŋ	ŋ	ŋ	ʔ	Ø	Ø	Ø	ŋ	385:2, 887:0	green / worm
171-1	C	1	z	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	z	Ø	Ø	Ø	ʒ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	650:0	eat (v.)
94-6	C	6	w	Ø	-	Ø	w	Ø	r	Ø	ɣ	w	-	Ø	w	w	w	Ø	w	Ø	w	-	Ø	-	m	w	1226:0, 1226:2, 1:0, 40:0, 360:2, 541:0	child / come (v.) / fish (animal) / hot, warm / water
120-6	C	6	w	Ø	ʔ	Ø	w	Ø	w	Ø	-	w	-	Ø	Ø	Ø	w	-	p	p	b	p	Ø	Ø	Ø	p	123:2, 154:0, 809:0, 932:2, 1140:1, 1351:0	flower / kill (v.) / liver / mouth / red / white
91-4	C	4	w	ɲ	ʔ	Ø	w	Ø	Ø	Ø	-	Ø	u	Ø	Ø	Ø	-	x	Ø	Ø	Ø	Ø	Ø	Ø	n	Ø	3:7, 272:2, 349:2, 1159:1	mountain / sun / white / you (plural)
90-3	C	3	w	Ø	Ø	Ø	Ø	Ø	Ø	-	k	g	g	Ø	k	Ø	g	ŋ	k	Ø	Ø	Ø	Ø	s	Ø	k	99:2, 618:3, 1169:0	bite (v.) / feather / five
169-1	C	1	w	Ø	Ø	Ø	Ø	Ø	Ø	b	-	h	-	Ø	Ø	Ø	-	Ø	Ø	Ø	h	Ø	Ø	-	b	Ø	568:2	path
180-1	C	1	w	Ø	u	Ø	Ø	Ø	Ø	-	-	Ø	u	Ø	Ø	Ø	w	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	751:1	say (v.)
237-1	C	1	w	t	x	-	Ø	-	Ø	h	k	k	-	-	Ø	Ø	w	Ø	Ø	Ø	Ø	Ø	-	Ø	-	Ø	1364:3	ear
130-4	C	4	tʃ	-	Ø	t	Ø	t	Ø	b	-	t	t	Ø	ɾ	k	t	Ø	Ø	s	t	Ø	b	-	Ø	Ø	238:4, 601:2, 675:0, 1212:3	black / cut (v.) / dry / meat
139-14	C	14	t	Ø	t	-	t	-	t	t	t	t	-	-	t	t	ʒ	t	t	t	t	s	Ø	t	Ø	t	689:1, 1360:0, 17:0, 123:0, 232:0, 281:0, 328:1, 336:0, 489:0, 527:0, 852:2, 941:0, 1049:0, 1131:1	bark (of tree) / breast / dry / ear / hand / head / heavy / hit (v.) / liver / mouth / one / tongue / yellow
146-8	C	8	t	Ø	t	t	Ø	t	n	-	tʲ	-	t	Ø	h	n	t	ɬ	n	p	ɾ	j	Ø	n	Ø	n	232:2, 256:0, 404:3, 423:2, 489:2, 749:2, 758:1, 970:0	dry / head / man / old / snake / tooth / tree / wind
143-5	C	5	t	-	t	t	t	t	Ø	t	t	Ø	Ø	Ø	-	Ø	t	Ø	Ø	Ø	n	Ø	Ø	n	Ø	Ø	7:0, 372:2, 399:0, 585:0, 919:2	dog / green / see (v.) / sing (v.) / sister
35-2	C	2	t	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	k	Ø	l	ʃ	t	-	Ø	Ø	-	Ø	k	w	-	Ø	426:3, 1121:2	hand / wind
162-1	C	1	t	t	Ø	t	t	t	-	-	tʲ	Ø	-	Ø	Ø	t	t	Ø	Ø	Ø	Ø	t	Ø	n	Ø	Ø	279:0	breast
201-1	C	1	t	t	Ø	s	Ø	Ø	Ø	s	tʲ	Ø	Ø	s	Ø	Ø	Ø	ɬ	Ø	Ø	s	Ø	Ø	n	Ø	Ø	1061:0	moon
231-1	C	1	t	Ø	Ø	Ø	Ø	Ø	n	j	s	Ø	s	Ø	Ø	Ø	s	Ø	s	Ø	ɣ	Ø	s	n	Ø	Ø	1304:3	new
150-13	C	13	s	Ø	ʃ	s	Ø	s	j	s	s	s	s	Ø	s	ʃ	ʃ	-	j	j	s	s	n	s	-	j	360:1, 1057:2, 1188:0, 344:0, 372:1, 427:0, 457:0, 479:0, 581:2, 801:0, 845:2, 846:2, 1346:3	I / come (v.) / good / hair / hit (v.) / moon / sand / see (v.) / sing (v.) / smell (v.) / this / wind / woman
158-7	C	7	s	n	Ø	d	tʃ	d	s	Ø	Ø	d	Ø	d	s	s	-	Ø	t	Ø	d	t	s	Ø	Ø	t	115:5, 273:0, 361:0, 497:0, 562:0, 879:0, 1024:0	bird / come (v.) / few / head / path / sun / wash (v.)
136-6	C	6	s	Ø	-	Ø	t	Ø	Ø	Ø	Ø	t	Ø	s	s	ʃ	s	-	-	j	t	Ø	Ø	n	Ø	-	90:0, 305:1, 763:0, 899:1, 1040:2, 1179:2	bite (v.) / far / feather / guts / talk (v.) / tooth
115-5	C	5	s	s	s	Ø	Ø	s	n	-	s	d	s	Ø	n	n	ʃ	tʃ	Ø	Ø	Ø	s	s	s	ɺ	Ø	3:3, 492:0, 757:0, 842:2, 1149:4	fire / head / mountain / tooth / white
117-4	C	4	s	s	s	s	-	s	Ø	Ø	Ø	-	ʃ	Ø	s	ʃ	ʒ	ɬ	Ø	Ø	-	Ø	Ø	t	ʃ	Ø	149:0, 541:3, 807:0, 619:0	five / flower / hot, warm / laugh (v.)
79-3	C	3	s	s	Ø	Ø	Ø	Ø	Ø	ʃ	s	s	s	Ø	j	h	ʃ	Ø	k	Ø	-	Ø	-	Ø	Ø	k	668:2, 1215:5, 1275:0	black / cut (v.) / night
102-3	C	3	s	Ø	Ø	s	Ø	Ø	-	s	s	Ø	ʃ	h	ɾ	s	tʃ	t	Ø	s	-	Ø	s	Ø	-	Ø	618:1, 879:2, 1383:1	bird / five / small
221-1	C	1	s	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	t	Ø	Ø	Ø	g	Ø	Ø	Ø	Ø	Ø	1235:4	child
142-10	C	10	n	Ø	k	s	Ø	k	k	Ø	-	Ø	l	l	k	h	n	l	r	Ø	ɾ	-	Ø	l	-	Ø	288:2, 288:5, 3:2, 70:2, 90:3, 219:2, 267:0, 581:0, 718:2, 1024:2	feather / forest / leg / neck / salt / sing (v.) / sun / wash (v.) / white
107-9	C	9	n	n	d	d	tʃ	d	d	ɾ	n	n	n	Ø	-	Ø	n	t	d	d	n	t	ŋ	t	Ø	d	214:0, 362:0, 547:0, 662:0, 732:0, 1198:0, 1320:0, 1323:0, 1070:2	come (v.) / cry (v.) / drink (v.) / give (v.) / hear (v.) / salt / walk (v.) / with
87-5	C	5	n	-	-	k	Ø	k	r	k	k	Ø	g	g	t	t	n	ɾ	d	d	-	Ø	Ø	k	k	d	64:1, 129:0, 256:1, 668:0, 1149:2	cut (v.) / mountain / snake / stone / what
86-4	C	4	n	-	Ø	ʔ	-	s	Ø	ɾ	-	ɾ	s	Ø	j	Ø	ɾ	n	s	Ø	Ø	s	s	Ø	Ø	s	329:1, 458:2, 1131:3, 1169:2	I / bite (v.) / hand / one
56-3	C	3	n	Ø	-	-	-	-	n	k	k	-	-	Ø	k	h	n	Ø	Ø	Ø	ɾ	-	k	-	Ø	Ø	130:1, 757:2, 1235:5	child / tooth / what
70-3	C	3	n	Ø	ʔ	t	l	-	Ø	Ø	Ø	ʔ	l	Ø	Ø	Ø	ɾ	ɾ	Ø	Ø	ɾ	Ø	l	r	ɺ	Ø	282:2, 426:2, 846:1	breast / sand / wind
48-2	C	2	n	Ø	Ø	Ø	-	Ø	Ø	t	-	-	l	Ø	l	k	n	Ø	Ø	Ø	-	Ø	Ø	l	b	Ø	568:4, 1121:4	hand / path
166-1	C	1	n	n	Ø	dʒ	tʃ	dʒ	Ø	Ø	Ø	n	n	Ø	Ø	Ø	-	t	Ø	Ø	Ø	t	n	Ø	Ø	Ø	458:0	I
212-1	C	1	n	Ø	ɾ	ɺ	Ø	ɺ	Ø	Ø	Ø	Ø	Ø	l	Ø	Ø	l	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	1128:2	hand
140-8	C	8	m	Ø	-	b	Ø	b	w	Ø	Ø	Ø	Ø	h	-	m	m	Ø	m	m	b	p	Ø	Ø	ɸ	m	90:1, 344:2, 345:0, 404:1, 434:2, 630:0, 734:0, 1235:2	child / feather / give (v.) / good / old / stomach / tail / you (plural)
32-4	C	4	m	Ø	m	b	m	b	Ø	b	m	m	m	m	m	m	m	p	b	b	m	m	p	p	m	b	302:0, 435:0, 586:2, 845:0	hit (v.) / sing (v.) / stomach / three
66-3	C	3	m	b	b	Ø	m	Ø	Ø	Ø	m	Ø	m	b	Ø	Ø	ʃ	Ø	Ø	Ø	m	Ø	p	p	Ø	Ø	149:2, 349:0, 1074:0	cry (v.) / laugh (v.) / you (plural)
97-3	C	3	m	n	Ø	-	Ø	-	r	w	β	h	Ø	Ø	-	n	m	Ø	Ø	k	Ø	-	Ø	Ø	Ø	Ø	527:2, 798:1, 1212:2	black / this / yellow
7-2	C	2	m	b	b	p	b	p	-	m	β	Ø	b	b	Ø	Ø	-	Ø	m	Ø	m	Ø	m	p	p	m	772:2, 813:4	sand / sleep (v.)
20-2	C	2	m	-	-	ɺ	g	ɺ	Ø	-	k	k	-	Ø	Ø	Ø	m	Ø	Ø	Ø	Ø	-	-	Ø	k	Ø	1192:4, 1332:2	eye / woman
163-1	C	1	m	-	-	-	-	-	m	-	m	Ø	m	-	m	m	m	-	m	m	m	-	m	-	-	m	325:0	thou
175-1	C	1	m	Ø	b	t	b	t	Ø	b	m	Ø	m	p	Ø	Ø	m	p	Ø	Ø	b	Ø	Ø	p	b	Ø	706:0	four
184-1	C	1	m	Ø	b	b	b	b	b	b	b	b	m	m	p	p	m	p	b	Ø	b	p	p	p	b	b	775:0	two
202-1	C	1	m	b	Ø	-	Ø	Ø	Ø	ʔ	-	Ø	Ø	r	Ø	Ø	Ø	x	Ø	Ø	ɣ	Ø	Ø	-	Ø	Ø	1061:2	moon
226-1	C	1	m	Ø	b	b	b	b	-	b	ʔ	m	m	b	Ø	Ø	m	p	m	Ø	m	Ø	Ø	m	ɸ	m	1298:0	cloud
133-17	C	17	k	s	k	k	k	k	-	ʃ	-	ʔ	ʃ	Ø	k	k	k	k	k	Ø	-	-	k	k	k	k	689:3, 813:6, 837:0, 1320:2, 50:0, 60:0, 362:2, 411:0, 630:4, 639:0, 761:0, 794:1, 919:0, 932:3, 1192:3, 1243:0, 1375:2	at / bark (of tree) / come (v.) / eat (v.) / father / fire / foot / hear (v.) / liver / no / old / sand / sister / stone / tail / tooth / woman
78-11	C	11	k	k	k	-	-	-	k	k	k	k	k	k	n	n	k	k	b	b	k	Ø	k	k	kʰ	b	288:0, 288:3, 59:0, 70:0, 145:0, 282:0, 296:0, 305:0, 399:2, 932:0, 1082:0	breast / cry (v.) / earth / foot / forest / green / guts / leg / liver / mouth
63-10	C	10	k	k	k	k	g	k	k	k	k	k	k	k	-	k	g	k	k	Ø	k	-	k	k	k	k	813:0, 1057:3, 434:0, 619:1, 700:4, 706:2, 950:0, 978:0, 1177:0, 1179:0	bite (v.) / bone / five / four / leaf / moon / sand / stomach
50-5	C	5	k	-	-	dʒ	-	dʒ	Ø	j	k	h	g	s	s	l	g	k	s	s	-	h	s	-	-	s	1:2, 302:2, 750:0, 1150:1, 1214:0	black / mountain / say (v.) / three / water
128-5	C	5	k	k	Ø	k	k	Ø	k	k	-	k	k	k	k	k	-	k	Ø	Ø	Ø	Ø	k	k	ɾ	Ø	3:5, 1051:0, 1121:0, 1131:2, 1149:0	hand / mountain / tongue / white
15-3	C	3	k	k	k	k	k	k	Ø	k	k	k	k	k	Ø	Ø	Ø	k	-	k	k	-	k	k	kʰ	-	87:0, 1137:1, 1375:0	father / flea / kill (v.)
44-3	C	3	k	Ø	k	Ø	g	Ø	Ø	Ø	n	k	k	g	Ø	k	k	k	k	Ø	-	Ø	k	n	Ø	k	551:2, 789:0, 1323:2	at / hear (v.) / walk (v.)
83-3	C	3	k	-	g	Ø	Ø	k	Ø	k	k	Ø	k	Ø	k	k	k	-	Ø	Ø	k	-	Ø	-	k	Ø	492:2, 834:2, 842:1	fire / head
3-2	C	2	k	k	k	k	g	k	Ø	k	k	k	k	k	Ø	Ø	k	k	Ø	Ø	k	-	k	k	kʰ	Ø	770:0, 1089:0	dance (v.) / tree
11-2	C	2	k	k	-	k	k	k	Ø	k	k	k	k	g	Ø	Ø	k	k	t	Ø	-	Ø	k	k	-	t	145:2, 582:2	fasten / mouth
181-1	C	1	k	Ø	k	Ø	Ø	Ø	Ø	k	-	Ø	ʃ	Ø	Ø	Ø	ʃ	Ø	Ø	Ø	Ø	Ø	Ø	k	Ø	Ø	751:3	say (v.)
183-1	C	1	k	k	k	k	g	k	Ø	k	k	Ø	k	k	Ø	Ø	k	Ø	k	Ø	k	Ø	k	k	-	-	772:0	sleep (v.)
199-1	C	1	k	k	k	k	Ø	k	Ø	k	-	k	Ø	Ø	Ø	Ø	k	k	-	Ø	Ø	k	k	k	k	-	1025:2	wash (v.)
214-1	C	1	k	Ø	Ø	Ø	g	Ø	Ø	Ø	ɣ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	1159:4	mountain
234-1	C	1	k	k	k	k	Ø	k	Ø	k	k	k	k	k	Ø	Ø	k	Ø	Ø	Ø	Ø	Ø	k	Ø	k	Ø	1364:0	ear
236-1	C	1	k	k	g	k	Ø	k	Ø	k	h	s	k	g	Ø	Ø	k	Ø	Ø	Ø	Ø	Ø	k	Ø	ŋ	Ø	1364:2	ear
112-4	C	4	g	Ø	Ø	dʒ	Ø	dʒ	Ø	w	g	Ø	k	j	j	-	g	-	j	Ø	ɲ	k	Ø	Ø	-	j	143:1, 214:2, 834:0, 1070:1	cry (v.) / fire / laugh (v.) / salt
65-3	C	3	g	Ø	-	tʃ	ɲ	dʒ	Ø	Ø	g	-	g	Ø	Ø	Ø	g	k	Ø	Ø	-	Ø	Ø	s	d	Ø	202:1, 601:0, 718:0	know something (v.) / meat / neck
69-3	C	3	g	Ø	Ø	t	h	t	Ø	-	-	-	g	Ø	Ø	Ø	g	Ø	Ø	Ø	-	Ø	Ø	k	ɾ	Ø	568:1, 900:1, 1159:0	mountain / path / talk (v.)
110-3	C	3	g	Ø	Ø	tʃ	g	dʒ	Ø	Ø	ɣ	g	g	Ø	Ø	Ø	g	k	Ø	Ø	n	Ø	Ø	Ø	-	Ø	411:2, 1235:0, 1140:0	child / kill (v.) / old
36-2	C	2	g	b	m	ʔ	-	Ø	Ø	-	Ø	Ø	Ø	b	m	Ø	Ø	-	Ø	Ø	b	Ø	p	p	Ø	Ø	656:0, 1051:2	tongue / with
38-2	C	2	g	Ø	dʒ	-	Ø	h	Ø	w	g	Ø	g	k	Ø	Ø	g	Ø	Ø	Ø	Ø	Ø	Ø	s	Ø	Ø	751:0, 1128:0	hand / say (v.)
57-2	C	2	g	Ø	dʒ	Ø	h	Ø	Ø	Ø	ɣ	g	Ø	k	Ø	Ø	g	Ø	Ø	Ø	ŋ	Ø	Ø	Ø	Ø	Ø	841:0, 1015:0	fire / large
141-6	C	6	dʒ	d	t	b	tʃ	d	m	j	s	d	n	Ø	n	l	d	t	-	s	d	k	-	t	-	-	215:4, 272:0, 782:1, 807:2, 1084:1, 1049:2	flower / he / mother / salt / sun / tongue
25-3	C	3	dʒ	s	d	d	tʃ	d	-	r	s	d	n	j	Ø	Ø	d	t	-	Ø	ɲ	h	s	t	d	-	508:1, 730:1, 748:0	fall (v.) / give (v.) / water
145-11	C	11	d	Ø	ɾ	ɺ	-	ɺ	r	-	-	n	n	d	Ø	ɾ	d	t	l	l	ɾ	ɾ	t	Ø	ɺ	l	1186:0, 1186:2, 50:2, 215:0, 560:2, 630:2, 631:0, 955:1, 1188:2, 1192:1, 1346:1	fasten / foot / man / salt / smell (v.) / tail / woman / yellow
104-4	C	4	b	Ø	Ø	s	m	s	w	Ø	Ø	Ø	m	Ø	p	Ø	b	p	p	Ø	m	Ø	p	p	ɸ	p	3:0, 426:0, 1368:0, 1373:0	father / white / wind
2-2	C	2	b	b	b	b	-	b	Ø	b	β	b	-	b	Ø	p	b	p	Ø	Ø	b	Ø	p	p	ɸ	Ø	238:0, 605:0	ash / dry
27-2	C	2	b	Ø	Ø	Ø	Ø	Ø	-	b	-	Ø	b	Ø	Ø	Ø	b	Ø	w	Ø	-	Ø	b	p	Ø	w	1057:0, 1304:1	moon / new
85-5	C	5	-	-	Ø	b	w	b	w	b	p	w	b	Ø	Ø	w	-	Ø	w	w	Ø	w	p	w	b	w	154:2, 423:0, 560:0, 991:0, 1332:0	eye / fasten / red / smoke (substance) / wind
125-5	C	5	-	h	Ø	s	Ø	t	s	s	h	s	s	Ø	ɾ	Ø	s	Ø	s	s	Ø	Ø	Ø	Ø	Ø	s	59:2, 582:0, 639:2, 846:0, 1245:0	eat (v.) / fasten / foot / no / sand
58-4	C	4	-	-	ŋ	ʔ	s	-	m	t	-	Ø	m	Ø	Ø	k	d	Ø	ŋ	ŋ	Ø	t	Ø	-	Ø	ŋ	279:2, 427:4, 457:2, 1150:3	I / breast / mountain / wind
106-4	C	4	-	Ø	k	d	-	d	k	Ø	Ø	r	Ø	t	Ø	r	-	k	Ø	r	-	Ø	l	Ø	ɾ	Ø	215:3, 1373:2, 1383:3, 899:3	salt / small / talk (v.) / white
119-4	C	4	-	n	Ø	Ø	m	Ø	r	ɾ	n	-	l	Ø	Ø	l	ɾ	Ø	-	w	Ø	Ø	Ø	l	Ø	w	99:4, 784:1, 1318:0, 220:1	blood / feather / he / hear (v.)
99-3	C	3	-	-	ɾ	ɺ	l	ɺ	Ø	ɾ	-	-	l	l	l	l	-	ɾ	-	r	ɾ	Ø	-	Ø	-	-	305:3, 1189:2, 770:1	guts / tree / woman
118-3	C	3	-	n	Ø	Ø	Ø	Ø	Ø	j	-	ŋ	h	Ø	Ø	Ø	m	Ø	Ø	m	m	Ø	Ø	Ø	ɲ	Ø	149:4, 996:1, 1189:0	laugh (v.) / smoke (substance) / woman
24-2	C	2	-	Ø	k	k	k	k	Ø	ɾ	k	Ø	g	g	Ø	Ø	n	k	Ø	Ø	k	Ø	k	k	k	Ø	631:2, 692:0	bark (of tree) / tail
72-2	C	2	-	Ø	k	Ø	Ø	k	Ø	k	k	-	g	Ø	Ø	Ø	g	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	296:3, 1050:1	earth / tongue
101-2	C	2	-	Ø	Ø	Ø	tʃ	Ø	Ø	j	n	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	n	Ø	t	n	Ø	Ø	527:4, 551:0	walk (v.) / yellow
164-1	C	1	-	b	b	b	b	b	-	b	-	Ø	-	b	n	n	-	p	-	-	-	p	-	p	ɸ	-	325:1	thou
188-1	C	1	-	b	Ø	ʔ	Ø	h	h	Ø	Ø	Ø	Ø	Ø	Ø	g	-	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	798:2	this
191-1	C	1	-	Ø	k	Ø	t	Ø	Ø	Ø	t	Ø	Ø	b	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	841:2	fire
