ID	STRUCTURE	FREQUENCY	abui	adang	blagar	kaera	kamang	klon	kui	nedebang	protoalorpantar	sawila	teiwa	wersing	westernpantar	COGNATESETS	CONCEPTS
311-1	V	1	-	-	-	i	Ø	-	i	i	i	Ø	i	Ø	Ø	1818:2	tree
312-1	V	1	-	Ø	Ø	-	e	Ø	Ø	Ø	Ø	Ø	u	Ø	a	1822:3	turtle
345-1	V	1	-	Ø	i	o	Ø	Ø	Ø	a	a	a	-	Ø	Ø	2076:6	chase away/expel
352-1	V	1	-	u	o	o	Ø	u	Ø	Ø	a	u	a	Ø	Ø	2123:2	civet cat
24-9	C	9	ŋ	ŋ	ŋ	ŋ	ŋ	-	n	ŋ	n	ŋ	l	ŋ	-	694:4, 1227:5, 31:8, 179:2, 276:6, 887:2, 1173:4, 1271:6, 2240:4	dirty / fingernail / good / head / neck / right / spider / stick/pole / sweet
58-3	C	3	ŋ	ʔ	ŋ	ŋ	h	d	s	Ø	ŋ	Ø	Ø	Ø	Ø	88:4, 588:6, 964:4	float / marungga / rub
160-3	C	3	ŋ	n	n	r	n	n	n	Ø	n	n	r	ŋ	r	897:2, 1579:4, 2275:1	dust/fine earth / ripe / to kill
78-2	C	2	ŋ	Ø	Ø	Ø	l	Ø	l	Ø	Ø	ŋ	Ø	-	Ø	231:4, 1408:5	green / to breathe
248-2	C	2	ŋ	n	n	n	ŋ	Ø	n	n	n	-	n	ŋ	Ø	1408:2, 1474:2	to breathe / to die
321-2	C	2	ŋ	ŋ	ŋ	n	ŋ	n	n	ŋ	n	Ø	n	Ø	ŋ	1838:3, 2350:2	eye / village
51-1	C	1	ŋ	ŋ	Ø	n	ŋ	-	n	n	n	ŋ	n	ŋ	ŋ	55:4	five
390-1	C	1	ŋ	ŋ	ŋ	ŋ	ŋ	n	n	ŋ	ŋ	ŋ	n	ŋ	ŋ	2370:4	arm
5-10	C	10	Ø	h	-	s	s	h	s	tʃ	s	-	s	ʔ	s	402:0, 2267:0, 2267:2, 31:6, 254:3, 594:2, 1465:0, 1703:3, 2096:0, 2180:4	chicken / coral (rock) / dry / fingernail / guts / knife / mat / to dance / to split
26-7	C	7	Ø	t	h	s	p	t	s	s	Ø	k	s	s	s	978:3, 2235:5, 303:0, 874:4, 1035:0, 1408:3, 2095:0	chicken / dirty / heavy / rib / sand / shark / to breathe
6-4	C	4	Ø	Ø	-	-	Ø	d	Ø	ŋ	Ø	Ø	n	Ø	ŋ	276:2, 1297:4, 874:0, 882:4	head / rib / right / swim
30-3	C	3	Ø	Ø	m	-	Ø	h	m	m	m	Ø	m	Ø	ŋ	3:2, 308:1, 1146:3	fat / help / snake
38-3	C	3	Ø	ʔ	Ø	t	k	g	k	g	k	g	t	k	n	31:0, 1408:0, 2349:0	eye / fingernail / to breathe
42-3	C	3	Ø	ŋ	ŋ	ŋ	-	n	-	ŋ	-	Ø	n	Ø	ŋ	31:4, 1041:4, 1113:4	fingernail / sharp / sky
283-3	C	3	Ø	l	l	g	-	g	Ø	g	-	g	t	g	l	1612:0, 1773:0, 1781:0	to live / to wake s.o up / to walk
29-2	C	2	Ø	t	t	q	Ø	-	t	j	t	Ø	t	Ø	Ø	3:0, 190:2	ask (question) / fat
71-2	C	2	Ø	t	t	j	t	t	t	r	t	t	n	Ø	n	169:3, 897:0	garden / ripe
73-2	C	2	Ø	ʔ	v	g	Ø	t	g	t	Ø	Ø	g	Ø	g	190:0, 1430:2	ask (question) / to count
90-2	C	2	Ø	Ø	l	j	Ø	r	Ø	l	Ø	Ø	l	Ø	Ø	308:3, 821:1	help / rain
101-2	C	2	Ø	ʔ	s	s	-	Ø	Ø	tʃ	s	t	s	w	s	397:3, 1523:4	bad / to fight
104-2	C	2	Ø	b	t	t	Ø	t	Ø	-	Ø	Ø	t	Ø	-	440:0, 915:2	leaf / road/path
148-2	C	2	Ø	h	t	r	Ø	Ø	t	t	Ø	Ø	Ø	Ø	t	801:2, 1000:0	papaya / scratch
162-2	C	2	Ø	s	j	Ø	j	Ø	j	j	j	j	j	j	j	915:0, 1603:0	road/path / to laugh
169-2	C	2	Ø	l	r	Ø	l	Ø	-	Ø	-	r	-	r	l	964:0, 1673:2	rub / to sing
266-2	C	2	Ø	Ø	-	ʔ	Ø	Ø	Ø	-	Ø	Ø	n	Ø	g	1524:4, 1567:3	to flow / to hunt
269-2	C	2	Ø	ʔ	ʔ	g	-	g	g	g	-	-	j	-	g	1539:1, 1683:0	to give / to smell
300-2	C	2	Ø	Ø	Ø	-	Ø	Ø	-	ʔ	Ø	Ø	ʔ	Ø	ʔ	1765:4, 2018:2	bride price / to vomit
346-2	C	2	Ø	Ø	-	q	Ø	Ø	Ø	m	Ø	Ø	q	Ø	k	2095:3, 2161:0	chicken / cold
368-2	C	2	Ø	f	p	p	Ø	-	Ø	Ø	p	p	-	Ø	Ø	2270:0, 2288:0	dry in sun / earth
60-1	C	1	Ø	Ø	Ø	dʒ	Ø	Ø	Ø	dʒ	j	-	dʒ	-	h	99:0	fly
149-1	C	1	Ø	t	Ø	Ø	Ø	Ø	k	-	Ø	Ø	Ø	Ø	t	801:3	papaya
155-1	C	1	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	dʒ	Ø	m	Ø	824:1	rain
157-1	C	1	Ø	ʔ	j	-	Ø	Ø	-	Ø	Ø	Ø	j	Ø	Ø	861:2	rattan
165-1	C	1	Ø	m	m	m	Ø	-	m	m	m	m	m	m	Ø	925:0	roof thatch
168-1	C	1	Ø	n	ŋ	n	Ø	m	n	ŋ	n	ŋ	n	ŋ	Ø	925:3	roof thatch
192-1	C	1	Ø	n	n	n	-	n	n	n	n	n	-	n	n	1140:2	smoke
194-1	C	1	Ø	ʔ	k	ħ	n	-	k	-	q	k	n	k	n	1140:4	smoke
212-1	C	1	Ø	h	Ø	-	h	h	s	-	s	Ø	-	Ø	s	1215:2	bite
258-1	C	1	Ø	Ø	Ø	q	Ø	Ø	Ø	Ø	Ø	Ø	ħ	Ø	-	1465:2	to dance
260-1	C	1	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	ħ	Ø	h	1480:0	to dig
268-1	C	1	Ø	-	m	m	m	-	-	m	-	r	m	Ø	-	1539:0	to give
271-1	C	1	Ø	n	n	ŋ	n	n	-	n	n	n	n	Ø	n	1539:3	to give
302-1	C	1	Ø	Ø	Ø	n	n	ŋ	Ø	n	n	Ø	Ø	ŋ	Ø	1773:4	to wake s.o up
304-1	C	1	Ø	-	r	Ø	Ø	l	Ø	Ø	Ø	Ø	r	Ø	-	1781:4	to walk
324-1	C	1	Ø	t	Ø	t	Ø	-	t	t	Ø	Ø	t	Ø	Ø	1841:2	branch
326-1	C	1	Ø	ŋ	Ø	n	Ø	h	n	n	Ø	Ø	ŋ	Ø	Ø	1841:4	branch
332-1	C	1	Ø	Ø	-	j	Ø	Ø	Ø	j	Ø	Ø	j	Ø	-	1887:2	white
335-1	C	1	Ø	ʔ	-	g	Ø	b	g	Ø	Ø	Ø	ħ	Ø	g	1977:2	yellow
337-1	C	1	Ø	-	r	r	Ø	g	r	Ø	Ø	Ø	r	Ø	g	1977:4	yellow
339-1	C	1	Ø	Ø	ŋ	Ø	Ø	ŋ	Ø	Ø	Ø	Ø	Ø	n	Ø	1984:3	yesterday
356-1	C	1	Ø	Ø	dʒ	-	Ø	Ø	Ø	ħ	Ø	Ø	ʔ	Ø	Ø	2161:2	cold
364-1	C	1	Ø	Ø	Ø	-	Ø	Ø	Ø	b	Ø	Ø	b	Ø	Ø	2235:0	dirty
365-1	C	1	Ø	Ø	Ø	-	Ø	Ø	Ø	l	Ø	Ø	l	Ø	Ø	2235:1	dirty
386-1	C	1	Ø	Ø	Ø	q	Ø	Ø	Ø	g	Ø	Ø	g	Ø	-	2349:4	eye
387-1	C	1	Ø	Ø	h	s	Ø	Ø	Ø	ʔ	Ø	Ø	ʔ	Ø	Ø	2352:2	fall (from above)
67-3	C	3	w	f	v	-	w	Ø	w	w	w	w	w	w	Ø	161:0, 645:2, 1252:0	full / mouth / sun
77-3	C	3	w	w	v	-	w	w	w	-	-	w	-	w	w	231:0, 1329:2, 2337:6	eleven / green / teeth
76-2	C	2	w	w	v	w	w	w	w	-	w	w	w	w	-	215:1, 1399:0	grasshopper / to bathe
224-2	C	2	w	f	v	w	w	w	Ø	w	w	w	w	w	h	1292:0, 2157:0	coconut / swell
115-1	C	1	w	w	v	w	w	w	-	w	w	Ø	-	-	w	498:1	lime
241-1	C	1	w	d	v	Ø	Ø	w	w	s	w	Ø	w	Ø	w	1345:0	thatch
255-1	C	1	w	f	v	w	w	w	w	w	w	w	w	w	w	1434:0	blood
286-1	C	1	w	ŋ	ŋ	Ø	-	n	-	-	n	ŋ	n	-	ŋ	1624:4	to plant 1
350-1	C	1	w	Ø	v	s	w	Ø	Ø	Ø	w	k	g	w	Ø	2106:2	chin
372-1	C	1	w	Ø	Ø	w	w	w	Ø	w	-	w	w	w	-	2284:2	ear
12-7	C	7	v	f	v	w	w	w	w	w	w	w	w	w	w	177:2, 577:0, 577:2, 93:3, 440:2, 475:0, 1233:0	flower / good / leaf / light / mango / stone
252-2	C	2	v	w	-	w	w	w	w	w	Ø	Ø	-	Ø	Ø	1424:2, 1527:2	to cook / to flow
3-43	C	43	t	t	t	t	t	t	t	t	t	t	t	t	t	1108:0, 2264:0, 2264:4, 39:4, 601:3, 1524:0, 1524:2, 206:0, 961:0, 1112:0, 788:0, 788:2, 88:0, 138:1, 387:0, 472:0, 518:0, 708:0, 972:0, 1006:0, 1065:0, 1157:2, 1195:0, 1199:0, 1229:1, 1297:0, 1336:0, 1354:0, 1358:0, 1366:1, 1418:1, 1430:0, 1485:0, 1523:0, 1527:0, 1625:0, 1637:0, 1737:0, 1773:2, 1818:0, 2076:2, 2349:2, 2370:2	(coral) reef / arm / arrow / bone / chase away/expel / dry / eye / float / four / grass/brush / jackfruit / lie down / long / millet / oven / rub / run / sea/salt water / short / six / sore/wound / stab / stand / stomach / swim / tendon / thick / thin / three / to close / to count / to dig / to fight / to flow / to plant 2 / to pound / to wake s.o up / tree
15-7	C	7	t	h	-	s	s	h	s	s	s	t	s	t	s	1354:4, 1815:2, 55:2, 608:2, 1199:2, 1371:0, 2345:1	bow / excrement / five / monitor lizard / stand / thick / three
28-5	C	5	t	t	k	q	k	t	t	q	Ø	Ø	q	Ø	k	2199:0, 2235:3, 528:2, 1196:0, 1924:0	breadfruit / correct / dirty / lontar palm / stab
83-4	C	4	t	tʃ	t	t	-	t	t	t	t	Ø	-	-	-	276:4, 645:0, 911:0, 1748:2	bedbug / head / mouth / to tie
40-2	C	2	t	t	t	t	-	t	-	t	-	w	-	n	t	31:2, 2106:0	chin / fingernail
124-2	C	2	t	m	m	t	Ø	p	Ø	Ø	t	Ø	w	Ø	m	588:2, 1781:2	marungga / to walk
229-2	C	2	t	n	t	t	-	g	t	g	-	g	g	n	n	1329:0, 2370:0	arm / teeth
347-2	C	2	t	ʔ	t	t	-	g	t	g	Ø	Ø	g	Ø	w	2101:0, 2350:0	child / eye
66-1	C	1	t	Ø	h	s	h	h	Ø	tʃ	s	Ø	s	Ø	Ø	155:1	fruit
130-1	C	1	t	ʔ	t	t	n	g	t	g	-	g	Ø	Ø	n	664:0	name
134-1	C	1	t	h	h	s	s	h	s	s	s	t	Ø	t	s	717:0	new (house)
183-1	C	1	t	tʃ	t	t	s	h	s	t	t	s	t	s	t	1034:3	betel vine
187-1	C	1	t	h	-	s	Ø	h	s	s	s	t	-	t	s	1106:2	sit
232-1	C	1	t	h	-	s	h	h	s	s	s	Ø	s	Ø	s	1329:4	teeth
305-1	C	1	t	t	Ø	t	Ø	g	t	g	-	Ø	g	Ø	n	1806:0	tongue
355-1	C	1	t	ʔ	t	t	t	Ø	Ø	t	t	t	t	t	Ø	2157:2	coconut
370-1	C	1	t	Ø	Ø	t	-	g	Ø	g	-	-	-	n	n	2284:0	ear
383-1	C	1	t	Ø	Ø	-	s	Ø	Ø	Ø	h	Ø	h	Ø	h	2340:0	empty
25-12	C	12	r	d	d	d	t	d	d	d	d	d	d	d	d	882:2, 1146:0, 15:4, 112:1, 858:0, 961:2, 1050:0, 1271:0, 1350:0, 1424:0, 1624:2, 1673:0	ash / feverish / rat / right / rub / shine / snake / sweet / thick / to cook / to plant 1 / to sing
145-3	C	3	r	b	m	p	t	d	d	f	d	Ø	d	Ø	l	775:2, 1567:5, 1924:3	bat / breadfruit / to hunt
45-2	C	2	r	r	t	s	-	-	r	r	d	-	r	w	-	35:3, 2337:2	eleven / fire
68-2	C	2	r	b	Ø	b	p	b	Ø	m	b	Ø	-	Ø	b	169:0, 1544:0	garden / to guard
195-2	C	2	r	d	d	-	t	d	d	Ø	d	d	r	t	Ø	1144:0, 2139:2	climb / smooth
291-1	C	1	r	dʒ	d	d	Ø	d	Ø	d	d	d	d	d	Ø	1659:2	body hair
377-1	C	1	r	d	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	2330:0	egg
14-9	C	9	p	p	p	p	f	p	p	f	p	Ø	p	p	p	1354:2, 1815:0, 243:0, 996:0, 1008:2, 1637:2, 1737:4, 1748:0, 2260:1	bone / bow / dream / gum tree/eucalyptus / scorpion / search/hunt for / thick / to pound / to tie
79-4	C	4	p	-	p	p	f	g	p	p	p	-	p	-	p	242:0, 874:1, 1195:2, 1625:2	gum tree/eucalyptus / rib / stab / to plant 2
276-1	C	1	p	p	p	p	f	p	p	p	p	Ø	p	Ø	p	1564:0	to hold
294-1	C	1	p	Ø	p	p	p	p	p	p	p	Ø	p	Ø	Ø	1698:0	to spit
8-11	C	11	n	n	n	n	n	ŋ	ŋ	n	n	n	n	n	n	765:0, 765:2, 946:2, 2199:3, 190:4, 518:3, 601:0, 631:0, 1480:2, 1512:0, 1839:2	ask (question) / correct / long / millet / mother / older sibling / rotten / to dig / to eat / village
86-5	C	5	n	n	n	ŋ	n	n	n	ŋ	n	Ø	n	n	Ø	283:2, 621:2, 823:1, 945:2, 1148:2	headlice / mosquito / rain / rotten / snake
81-2	C	2	n	n	-	-	-	Ø	n	g	Ø	Ø	g	Ø	n	276:0, 2337:3	eleven / head
140-2	C	2	n	n	n	n	n	n	n	n	n	n	n	n	n	773:0, 1498:0	one / to drink
239-2	C	2	n	n	n	n	ŋ	n	n	n	n	n	n	ŋ	Ø	1342:3, 1612:7	black / to live
132-1	C	1	n	ŋ	n	n	-	n	n	n	n	n	Ø	Ø	n	664:2	name
278-1	C	1	n	n	n	n	n	n	n	n	ŋ	Ø	n	Ø	n	1564:2	to hold
297-1	C	1	n	Ø	ŋ	ŋ	-	n	ŋ	m	n	Ø	n	Ø	Ø	1698:4	to spit
9-29	C	29	m	m	m	m	m	m	m	m	m	m	m	m	m	1041:0, 1887:0, 946:0, 1112:3, 1982:0, 12:2, 15:2, 343:2, 514:1, 562:0, 708:2, 728:2, 734:2, 911:2, 945:0, 1034:0, 1106:0, 1148:0, 1350:2, 1474:0, 1503:0, 1624:0, 1628:0, 1659:0, 1683:2, 1984:0, 2012:1, 2139:0, 2240:0	(coral) reef / banana / bedbug / betel vine / body hair / breast / climb / dirty / father / feverish / horn / liver / nose / old (people) / rotten / sharp / sit / six / snake / thick / to die / to drop / to plant 1 / to play / to smell / white / yesterday
22-6	C	6	m	Ø	p	g	m	g	g	g	m	m	g	m	m	694:2, 1839:0, 482:0, 1129:0, 1575:0, 1982:4	bamboo / neck / slave / to kill / village / yesterday
31-6	C	6	m	n	n	n	ŋ	n	n	n	m	n	n	n	n	12:0, 178:0, 718:3, 817:1, 1332:3, 1612:2	father / good / night / person / ten / to live
98-2	C	2	m	ŋ	ŋ	Ø	n	n	m	Ø	n	Ø	Ø	Ø	Ø	387:2, 1108:4	jackfruit / six
123-2	C	2	m	Ø	t	m	Ø	n	n	Ø	m	ŋ	Ø	ŋ	Ø	588:0, 728:4	marungga / nose
222-2	C	2	m	m	k	g	Ø	m	m	Ø	Ø	m	q	Ø	Ø	1278:0, 1703:0	bitter / to split
274-2	C	2	m	Ø	v	w	m	m	m	v	Ø	m	w	Ø	Ø	1551:0, 2161:4	cold / to hear
143-1	C	1	m	Ø	d	Ø	m	m	m	Ø	m	Ø	m	Ø	k	775:0	bat
179-1	C	1	m	ŋ	ŋ	m	m	n	n	Ø	m	m	Ø	m	Ø	1006:2	sea/salt water
10-24	C	24	l	l	l	l	l	l	l	l	l	l	l	l	l	39:2, 528:4, 1113:2, 100:0, 161:2, 231:2, 242:3, 475:2, 588:4, 801:5, 861:0, 1050:3, 1108:2, 1182:0, 1271:2, 1278:4, 1393:0, 1433:2, 1628:2, 1779:0, 1806:2, 1984:1, 2105:1, 2337:8	arrow / bitter / child / eleven / fly / full / green / gum tree/eucalyptus / light / lontar palm / marungga / papaya / rattan / shine / six / sky / squat/crouch / sweet / to bark / to count / to play / to walk / tongue / yesterday
173-3	C	3	l	-	Ø	w	-	l	l	j	l	l	-	l	Ø	978:0, 1156:3, 1527:4	bird / sand / to flow
109-2	C	2	l	l	-	l	Ø	Ø	s	l	Ø	Ø	Ø	Ø	t	467:3, 788:3	lie (tell untruth) / oven
196-1	C	1	l	l	l	r	l	l	l	Ø	r	Ø	Ø	l	Ø	1144:2	smooth
246-1	C	1	l	l	l	j	-	l	l	Ø	l	l	-	l	Ø	1399:2	to bathe
4-23	C	23	k	ʔ	b	q	k	k	k	q	k	k	q	k	k	944:0, 1227:3, 1335:4, 1612:5, 98:0, 98:2, 887:0, 872:1, 2240:2, 15:0, 39:0, 93:0, 178:2, 382:2, 718:1, 929:3, 972:2, 1182:2, 1433:4, 1492:2, 1644:4, 2180:2, 2244:0	arrow / coral (rock) / dirty / dog / feverish / flower / good / itchy / night / red / right / root / rope / run / squat/crouch / stick/pole / ten / to count / to divide / to live / to pull
85-13	C	13	k	ʔ	-	k	-	k	k	k	k	k	k	k	k	283:0, 343:4, 390:3, 621:0, 911:4, 1065:2, 1132:2, 1332:5, 1358:2, 1523:2, 1734:0, 1765:0, 2264:2	bedbug / bone / dry / headlice / horn / knee / mosquito / short / small / ten / thin / to fight / to vomit
7-8	C	8	k	-	-	ħ	-	k	k	q	Ø	s	q	k	k	379:0, 379:2, 2337:0, 2337:5, 177:0, 1003:0, 1332:0, 2180:0	coral (rock) / eleven / good / itchy / scratch / ten
72-3	C	3	k	k	-	-	k	Ø	m	k	Ø	k	q	k	k	179:0, 276:3, 801:0	good / head / papaya
107-3	C	3	k	k	k	k	k	k	k	k	Ø	Ø	k	Ø	k	467:1, 1132:0, 1822:2	lie (tell untruth) / small / turtle
142-2	C	2	k	-	-	k	k	k	k	k	k	k	k	-	k	773:2, 1523:6	one / to fight
206-2	C	2	k	-	-	-	k	k	k	Ø	-	j	w	t	Ø	1196:2, 2106:5	chin / stab
333-2	C	2	k	-	dʒ	q	Ø	k	k	q	-	k	q	k	k	1887:4, 2176:3	cooked rice / white
201-1	C	1	k	Ø	ʔ	ħ	k	k	k	Ø	q	Ø	Ø	Ø	k	1165:0	spear
216-1	C	1	k	ʔ	w	k	k	Ø	Ø	Ø	k	Ø	Ø	k	Ø	1229:3	stomach
223-1	C	1	k	ʔ	m	Ø	Ø	k	k	Ø	Ø	k	Ø	Ø	Ø	1278:2	bitter
238-1	C	1	k	ʔ	k	ħ	Ø	k	k	q	q	k	ʔ	k	Ø	1342:1	black
316-1	C	1	k	l	r	ħ	Ø	k	k	Ø	q	Ø	q	Ø	k	1829:3	two
382-1	C	1	k	ŋ	Ø	Ø	-	Ø	k	Ø	Ø	Ø	Ø	Ø	j	2337:10	eleven
100-4	C	4	j	-	-	j	j	Ø	Ø	j	j	j	j	Ø	j	397:0, 1822:0, 1982:2, 2224:0	bad / dibble stick / turtle / yesterday
48-3	C	3	j	-	dʒ	-	-	-	j	j	j	j	j	w	j	55:0, 882:0, 2243:0	dog / five / right
164-2	C	2	j	r	r	Ø	-	r	r	j	r	Ø	r	Ø	Ø	915:4, 1834:1	road/path / vagina
281-2	C	2	j	l	r	r	-	r	r	Ø	r	r	r	r	l	1603:2, 2123:1	civet cat / to laugh
314-1	C	1	j	-	-	r	Ø	r	r	Ø	r	Ø	r	Ø	l	1829:1	two
327-1	C	1	j	s	dʒ	dʒ	-	-	-	j	j	-	j	-	Ø	1857:0	water (fresh)
87-7	C	7	h	r	-	g	s	k	g	ħ	Ø	s	ħ	s	g	303:2, 1041:2, 1197:0, 1366:3, 1739:0, 1972:1, 2224:2	bone / dibble stick / heavy / sharp / stab / three / yawn
16-6	C	6	h	Ø	Ø	t	-	g	t	g	-	g	g	n	-	14:0, 694:0, 254:0, 390:0, 634:0, 728:0	father / guts / knee / mother / neck / nose
92-4	C	4	h	ʔ	-	g	g	g	g	g	-	g	ħ	g	Ø	343:0, 1433:0, 1602:1, 1644:0	horn / to count / to laugh / to pull
120-3	C	3	h	ʔ	-	g	-	g	Ø	Ø	g	l	ħ	l	g	562:2, 1779:3, 2208:2	banana / crocodile / to walk
210-3	C	3	h	ʔ	m	s	-	g	g	tʃ	-	j	s	p	g	1215:0, 1551:2, 1579:2	bite / to hear / to kill
227-3	C	3	h	-	-	g	w	g	g	g	-	g	g	w	g	1305:0, 1740:0, 2018:0	bride price / tail / to throw
199-2	C	2	h	Ø	r	r	t	Ø	d	d	d	d	d	d	Ø	1156:1, 2288:2	bird / earth
322-2	C	2	h	-	-	g	Ø	-	g	g	-	-	g	Ø	Ø	1841:0, 2076:0	branch / chase away/expel
17-8	C	8	f	b	b	b	p	b	b	f	b	p	f	p	p	14:2, 944:2, 38:1, 59:0, 1247:1, 1575:2, 1579:0, 1644:2	father / fish / flat / rope / sugarcane / to kill / to pull
63-8	C	8	f	b	b	b	p	b	b	f	b	b	f	b	b	101:1, 324:0, 1035:2, 1165:2, 1205:1, 1492:0, 1838:1, 2243:2	dog / fly (n.) / hole / shark / spear / star / to divide / village
126-8	C	8	f	b	b	b	p	b	b	b	b	Ø	b	b	b	594:0, 734:0, 1113:0, 1859:0, 1977:0, 2208:0, 2275:0, 2352:0	crocodile / dust/fine earth / fall (from above) / mat / old (people) / sky / wave / yellow
151-3	C	3	f	b	b	b	p	b	b	b	b	p	b	p	b	820:0, 976:0, 1140:0	betel nut/areca / pig / smoke
177-2	C	2	f	Ø	b	b	Ø	b	b	b	Ø	r	f	p	Ø	1003:2, 1157:0	scratch / sore/wound
136-1	C	1	f	b	b	b	p	b	b	v	b	p	Ø	p	b	717:2	new (house)
308-1	C	1	f	b	Ø	b	Ø	b	b	f	b	Ø	v	Ø	b	1806:4	tongue
96-5	C	5	dʒ	-	r	r	l	r	r	-	r	r	r	r	-	382:0, 1035:4, 1332:2, 2243:4, 2270:2	dog / dry in sun / itchy / shark / ten
189-3	C	3	dʒ	ʔ	r	r	-	-	r	-	r	r	r	r	Ø	1129:3, 1305:2, 1492:4	slave / tail / to divide
358-1	C	1	dʒ	l	Ø	n	Ø	r	r	-	-	r	-	r	Ø	2176:1	cooked rice
56-4	C	4	d	d	d	d	t	t	-	r	Ø	Ø	d	d	Ø	88:2, 319:1, 1503:2, 2029:0	burn/shine / float / hit (drum) / to drop
207-2	C	2	d	ʔ	j	ħ	Ø	-	-	Ø	Ø	Ø	-	Ø	Ø	1196:3, 1703:2	stab / to split
379-1	C	1	b	-	d	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	2330:2	egg
54-21	C	21	-	l	r	r	l	r	r	l	r	r	r	r	l	59:3, 99:2, 100:2, 112:3, 231:6, 608:0, 929:1, 1008:0, 1173:2, 1292:2, 1297:2, 1336:2, 1418:3, 1567:1, 1575:4, 1602:3, 1734:2, 1737:2, 1739:2, 1765:2, 2076:5	ash / bone / chase away/expel / flat / fly / green / monitor lizard / root / search/hunt for / spider / swell / swim / tendon / to close / to hunt / to kill / to laugh / to vomit
117-5	C	5	-	-	r	r	-	r	r	-	r	r	r	r	-	498:3, 823:4, 858:2, 1612:4, 2260:3	dream / lime / rain / rat / to live
27-4	C	4	-	m	d	d	t	d	-	-	-	d	-	d	-	1227:0, 1335:1, 35:1, 1924:2	breadfruit / fire / stick/pole / ten
34-4	C	4	-	ŋ	ŋ	m	Ø	n	n	Ø	-	ŋ	m	ŋ	-	12:4, 817:3, 1683:5, 2275:4	dust/fine earth / father / person / to smell
70-3	C	3	-	-	r	r	l	r	r	ħ	r	k	r	r	n	169:2, 996:2, 1003:4	garden / scorpion / scratch
88-3	C	3	-	w	v	Ø	Ø	r	w	Ø	Ø	Ø	r	Ø	-	303:4, 631:2, 1271:4	heavy / mother / sweet
147-3	C	3	-	h	l	Ø	-	l	l	Ø	l	w	-	-	r	775:4, 964:2, 1197:2	bat / rub / stab
103-2	C	2	-	Ø	t	-	-	Ø	Ø	j	r	Ø	ʔ	Ø	l	402:2, 482:2	bamboo / knife
204-2	C	2	-	ʔ	k	k	k	-	Ø	Ø	k	Ø	Ø	Ø	k	1173:0, 1544:2	spider / to guard
218-2	C	2	-	-	r	r	-	r	r	l	r	r	r	r	Ø	1233:2, 1698:2	stone / to spit
221-2	C	2	-	d	d	-	t	Ø	Ø	-	d	d	t	d	k	1252:2, 1465:5	sun / to dance
234-1	C	1	-	ŋ	ŋ	ŋ	-	-	-	ŋ	-	Ø	n	Ø	ŋ	1329:6	teeth
244-1	C	1	-	ʔ	j	Ø	Ø	-	-	j	j	Ø	ʔ	Ø	-	1345:3	thatch
273-1	C	1	-	ŋ	Ø	ŋ	n	k	Ø	Ø	n	Ø	Ø	Ø	ŋ	1544:4	to guard
299-1	C	1	-	d	d	d	Ø	d	-	Ø	d	Ø	Ø	Ø	Ø	1740:2	to throw
329-1	C	1	-	-	r	r	l	r	r	l	r	r	r	r	Ø	1857:2	water (fresh)
331-1	C	1	-	b	Ø	b	Ø	b	Ø	v	b	Ø	f	Ø	Ø	1859:2	wave
353-1	C	1	-	m	-	w	Ø	ʔ	Ø	Ø	w	w	w	Ø	Ø	2123:3	civet cat
360-1	C	1	-	dʒ	Ø	r	Ø	-	-	r	r	m	r	d	Ø	2176:5	cooked rice
374-1	C	1	-	Ø	Ø	r	-	r	Ø	ʔ	r	r	r	r	w	2284:4	ear
384-1	C	1	-	Ø	Ø	s	-	Ø	Ø	Ø	s	Ø	s	Ø	k	2340:2	empty
385-1	C	1	-	Ø	Ø	k	-	Ø	Ø	Ø	k	Ø	k	Ø	s	2340:4	empty
166-1	0	1	Ø	ɪ	e	a	Ø	e	e	a	e	a	a	e	Ø	925:1	roof thatch
