ID	STRUCTURE	FREQUENCY	jugankhanty	kazymkhanty	kondakhanty	kondamansi	likrisovskojekhanty	malyjjugankhanty	middlelozvamansi	nizjamkhanty	northmansi	obdorskkhanty	pelymkamansi	sherkalykhanty	synjakhanty	tavdamansi	tremjugankhanty	upperdemjankakhanty	vakhkhanty	vartovskojekhanty	vasjugankhanty	verkhnekalymskkhanty	COGNATESETS	CONCEPTS
39-10	C	10	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	ɲ	108:0, 242:0, 144:0, 213:0, 89:2, 228:2, 13:0, 32:0, 61:0, 185:2	drink / egg / green / know / meat / nose / round / snake / stand / tongue
38-4	C	4	ɭ	ɭ	l	l	ɭ	ɭ	l	l	l	l	l	l	ɭ	l	ɭ	l	ɭ	ɭ	ɭ	ɭ	45:0, 51:0, 230:0, 69:0	leaf / rain / road / say
97-1	C	1	ɬː	ɬ	t	Ø	θ	ɬː	Ø	t	Ø	l	Ø	t	Ø	Ø	ɬː	t	l	ɬ	l	l	9:2	salt
13-25	C	25	ɬ	ɬ	t	l	θ	ɬ	l	t	l	l	l	t	l	l	ɬ	t	l	ɬ	l	l	164:0, 165:4, 204:2, 32:2, 209:2, 40:2, 65:0, 144:2, 169:2, 176:2, 208:0, 208:2, 79:1, 231:1, 12:4, 26:3, 25:2, 85:3, 101:0, 122:4, 136:1, 160:2, 161:1, 163:2, 170:2	black / blood / bone / breast / cloud / die / fish / foot / full / lie / mouth / near / nose / person / say / sleep / smoke / snake / tail / year
32-6	C	6	ɬ	ɬ	t	t	θ	ɬ	t	t	t	Ø	t	t	l	t	ɬ	t	l	ɬ	j	j	25:0, 55:0, 134:0, 158:3, 166:0, 205:0	burn tr. / fly v. / heavy / mouth / root / worm
9-3	C	3	ɬ	ɬ	t	-	θ	ɬ	-	t	-	l	-	t	l	t	ɬ	t	l	Ø	l	l	28:4, 205:4, 225:2	fly v. / kill / neck
7-2	C	2	ɬ	ɬ	t	-	θ	ɬ	-	t	-	l	-	t	l	Ø	ɬ	t	ʎ	ɬ	ʎ	ʎ	90:3, 151:4	stand / thin
23-2	C	2	ɬ	ɬ	t	ʎ	θ	ɬ	ʎ	t	ʎ	l	ʎ	t	Ø	ʎ	ɬ	t	l	ɬ	l	l	50:0, 190:2	ear / road
50-2	C	2	ɬ	ɬ	-	l	θ	ɬ	l	l	l	l	l	l	l	l	ɬ	-	l	ɬ	-	j	96:4, 184:0	drink / sun
107-1	C	1	ɬ	ɬ	t	l	θ	ɬ	ʎ	t	ʎ	l	ʎ	t	l	l	ɬ	t	l	ɬ	l	l	29:2	new
129-1	C	1	ɬ	Ø	-	-	ɭ	ɬ	-	Ø	-	Ø	-	Ø	Ø	-	ɬ	-	ɭː	ɭ	ɭː	ɭ	68:2	big
137-1	C	1	ɬ	-	t	Ø	θ	-	Ø	t	Ø	Ø	Ø	t	Ø	Ø	ɬ	t	-	Ø	-	-	90:0	stand
152-1	C	1	ɬ	ɬ	t	l	θ	ɬ	l	t	l	l	l	t	l	ʎ	ɬ	t	l	ɬ	l	l	108:2	tongue
163-1	C	1	ɬ	j	j	Ø	Ø	Ø	r	j	r	l	r	j	j	Ø	ɬ	j	ʎ	Ø	ʎ	Ø	119:4	what
213-1	C	1	ɬ	ɬ	t	t	θ	ɬ	t	t	t	l	t	t	l	t	ɬ	t	l	ɬ	-	j	192:0	eat
239-1	C	1	ɬ	ɬ	-	l	-	ɬ	l	-	l	l	l	-	l	l	ɬ	-	l	ɬ	l	l	220:2	hear
255-1	C	1	ɬ	ɬ	t	t	θ	ɬ	t	t	t	l	t	t	Ø	t	ɬ	t	l	Ø	l	l	234:4	liver
15-2	C	2	ɣ	w	ɣ	w	ɣ	ɣ	-	w	w	Ø	w	ɣ	w	k	ɣ	ɣ	ɣ	ɣ	ɣ	ɣ	134:2, 158:2	heavy / worm
44-2	C	2	ɣ	-	ɣ	l	ɣ	ɣ	l	ɣ	l	-	l	ɣ	-	l	ɣ	ɣ	ɣ	Ø	ɣ	ɣ	142:2, 205:2	black / fly v.
147-1	C	1	ɣ	w	ɣ	-	ɣ	ɣ	-	ɣ	ɣ	Ø	-	ɣ	j	Ø	ɣ	Ø	ɣ	ɣ	ɣ	ɣ	101:2	tail
189-1	C	1	ɣ	χ	χ	t	ɣʷ	ɣʷ	t	χ	t	χ	t	χ	χ	Ø	ɣʷ	χ	ɣ	ɣ	ɣ	ɣ	151:2	thin
212-1	C	1	ɣ	w	ɣ	-	Ø	Ø	-	ɣ	-	w	-	ɣ	w	-	ɣ	ɣ	ɣ	Ø	ɣ	ɣ	191:2	earth
17-2	C	2	ŋʷ	ŋ	ŋ	ŋ	ŋʷ	ŋʷ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	-	-	ŋʷ	ŋ	ŋ	ŋ	ŋ	ŋ	15:2, 109:2	moon / tooth
73-7	C	7	ŋ	ŋ	ŋ	ɣ	ŋ	ŋ	-	ŋ	ŋ	ŋ	-	ŋ	ŋ	-	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	97:2, 145:2, 62:2, 107:2, 170:4, 206:2, 229:2	cloud / fly v. / know / sand / snake / sun / thou
55-2	C	2	ŋ	ŋ	ŋ	w	ŋ	ŋ	-	ŋ	ɣ	ŋ	w	ŋ	-	-	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	59:2, 116:2	round / water
161-1	C	1	ŋ	ŋ	ŋ	n	Ø	Ø	n	ŋ	n	ŋ	n	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	Ø	ŋ	Ø	118:2	we
242-1	C	1	ŋ	ŋ	ŋ	ɲ	ŋ	ŋ	ɲ	ŋ	ɲ	ŋ	ɲ	ŋ	ŋ	n	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	223:1	horn
80-3	C	3	Ø	ŋ	ŋ	m	Ø	Ø	m	ŋ	m	ŋ	m	Ø	ŋ	m	Ø	Ø	Ø	Ø	Ø	Ø	26:1, 58:2, 87:4	mouth / round / smoke
66-2	C	2	Ø	Ø	Ø	l	Ø	Ø	l	Ø	l	Ø	l	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	1:2, 74:2	bark / sit
88-2	C	2	Ø	Ø	Ø	ŋ	Ø	Ø	-	Ø	ŋ	Ø	ŋ	Ø	Ø	ŋ	Ø	Ø	Ø	Ø	Ø	Ø	50:2, 125:5	road / white
100-1	C	1	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	t	Ø	Ø	t	Ø	Ø	Ø	Ø	Ø	Ø	13:5	egg
102-1	C	1	Ø	Ø	Ø	q	Ø	Ø	q	Ø	χ	Ø	q	Ø	Ø	m	Ø	Ø	Ø	Ø	Ø	Ø	15:3	moon
104-1	C	1	Ø	Ø	Ø	s	Ø	Ø	s	Ø	Ø	Ø	s	Ø	Ø	ʃ	Ø	Ø	Ø	Ø	Ø	Ø	23:2	mouth
110-1	C	1	Ø	Ø	Ø	j	Ø	Ø	j	Ø	Ø	Ø	j	Ø	Ø	j	Ø	Ø	j	j	-	j	31:0	night
113-1	C	1	Ø	Ø	Ø	kʷ	Ø	Ø	kʷ	Ø	kʷ	Ø	kʷ	Ø	Ø	χ	Ø	Ø	Ø	Ø	Ø	Ø	38:1	one
116-1	C	1	Ø	Ø	Ø	χʷ	Ø	Ø	χʷ	Ø	kʷ	Ø	χʷ	Ø	Ø	χ	Ø	Ø	Ø	Ø	Ø	Ø	44:2	rain
119-1	C	1	Ø	Ø	Ø	q	Ø	Ø	χ	Ø	χ	Ø	q	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	50:3	road
125-1	C	1	Ø	Ø	Ø	j	Ø	Ø	j	Ø	j	Ø	j	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	64:0	sand
136-1	C	1	Ø	χ	Ø	w	Ø	Ø	-	Ø	w	Ø	w	w	Ø	Ø	ɣ	χ	w	Ø	w	Ø	88:0	bird
141-1	C	1	Ø	Ø	Ø	χʷ	Ø	Ø	χʷ	Ø	χʷ	Ø	χʷ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	94:1	stone
142-1	C	1	Ø	Ø	Ø	s	Ø	Ø	ʃ	Ø	s	Ø	s	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	94:4	stone
149-1	C	1	Ø	m	m	t	Ø	Ø	Ø	m	Ø	m	Ø	m	m	Ø	m	m	m	Ø	m	Ø	105:2	that
164-1	C	1	Ø	Ø	Ø	q	Ø	Ø	Ø	Ø	Ø	Ø	q	Ø	Ø	χ	Ø	Ø	Ø	Ø	Ø	Ø	121:2	all
167-1	C	1	Ø	Ø	Ø	j	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	j	Ø	Ø	Ø	Ø	Ø	Ø	125:2	white
171-1	C	1	Ø	Ø	Ø	qʷ	Ø	Ø	q	Ø	χ	Ø	qʷ	Ø	Ø	q	Ø	Ø	Ø	Ø	Ø	Ø	130:0	far
173-1	C	1	Ø	Ø	Ø	ʃ	Ø	Ø	s	Ø	s	Ø	ʃ	Ø	Ø	ʃ	Ø	Ø	Ø	Ø	Ø	Ø	130:2	far
175-1	C	1	Ø	w	w	Ø	Ø	Ø	Ø	w	Ø	w	Ø	Ø	Ø	Ø	kː	w	kː	Ø	kː	Ø	131:2	far
181-1	C	1	Ø	Ø	Ø	ʃ	Ø	Ø	sʲ	Ø	Ø	Ø	sʲ	Ø	Ø	tʃ	Ø	Ø	Ø	Ø	Ø	Ø	139:0	salt
183-1	C	1	Ø	Ø	Ø	ŋ	Ø	Ø	ŋ	Ø	Ø	Ø	n	Ø	Ø	n	Ø	Ø	Ø	Ø	Ø	Ø	143:1	short
184-1	C	1	Ø	Ø	Ø	kʷ	Ø	Ø	kʷ	Ø	Ø	Ø	k	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	143:2	short
200-1	C	1	Ø	k	k	Ø	Ø	Ø	Ø	k	Ø	k	Ø	k	k	Ø	Ø	k	ɣ	Ø	ɣ	ɣ	171:3	cold
202-1	C	1	Ø	Ø	Ø	sʲ	Ø	Ø	sʲ	Ø	sʲ	Ø	sʲ	Ø	Ø	tʃ	Ø	Ø	Ø	Ø	Ø	Ø	174:1	cold
222-1	C	1	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	χ	χ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	206:3	fly v.
228-1	C	1	Ø	Ø	Ø	p	Ø	Ø	p	Ø	p	Ø	p	Ø	Ø	q	Ø	Ø	Ø	Ø	Ø	Ø	213:3	green
229-1	C	1	Ø	Ø	Ø	m	Ø	Ø	m	Ø	m	Ø	m	Ø	Ø	r	Ø	Ø	Ø	Ø	Ø	Ø	213:5	green
235-1	C	1	Ø	Ø	Ø	ŋ	Ø	Ø	ŋ	Ø	ŋ	Ø	ŋ	Ø	Ø	ŋ	Ø	Ø	Ø	Ø	Ø	Ø	218:2	head
236-1	C	1	Ø	Ø	Ø	k	Ø	Ø	k	Ø	k	Ø	k	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	218:3	head
250-1	C	1	Ø	Ø	Ø	sʲ	Ø	Ø	sʲ	Ø	Ø	Ø	ʃ	Ø	Ø	ʃ	Ø	Ø	Ø	Ø	Ø	Ø	228:3	know
256-1	C	1	Ø	Ø	Ø	qʷ	Ø	Ø	qʷ	Ø	χ	Ø	qʷ	Ø	Ø	q	Ø	Ø	Ø	Ø	Ø	Ø	235:0	long
258-1	C	1	Ø	Ø	Ø	sʲ	Ø	Ø	ʃ	Ø	s	Ø	ʃ	Ø	Ø	ʃ	Ø	Ø	Ø	Ø	Ø	Ø	235:2	long
37-7	C	7	w	w	w	w	w	w	w	w	w	w	w	w	w	-	w	w	w	Ø	w	w	49:0, 117:0, 137:0, 140:0, 150:0, 162:0, 214:0	blood / green / near / red / short / thin / water
14-5	C	5	w	w	w	-	ɣ	ɣʷ	-	w	-	w	-	w	w	ʃ	ɣʷ	w	ɣ	ɣ	ɣ	ɣ	123:2, 236:2, 71:0, 115:2, 164:2	bone / long / see / warm / white
52-3	C	3	w	w	w	χ	ɣʷ	ɣʷ	χ	w	k	w	χ	w	w	χ	ɣʷ	w	ɣ	Ø	ɣ	ɣ	17:1, 139:2, 237:2	louse / mountain / salt
4-2	C	2	w	χ	χ	-	ɣ	ɣʷ	-	χ	w	χ	-	χ	χ	Ø	ɣʷ	χ	ɣ	ɣ	ɣ	ɣ	76:2, 219:1	head / skin
143-1	C	1	w	w	w	Ø	ɣʷ	ɣʷ	Ø	w	Ø	w	Ø	w	w	-	ɣʷ	w	ɣ	ɣ	ɣ	ɣ	95:2	stone
156-1	C	1	w	χ	χ	w	ɣ	ɣ	w	χ	w	χ	-	χ	χ	w	ɣ	χ	ɣ	ɣ	ɣ	ɣ	111:2	tree
162-1	C	1	w	-	t	Ø	Ø	Ø	n	-	n	-	n	-	-	Ø	ɣʷ	t	ɣ	Ø	ɣ	Ø	119:2	what
187-1	C	1	w	-	w	w	w	w	w	-	w	-	w	-	-	Ø	w	w	w	w	w	w	151:0	thin
191-1	C	1	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	156:0	wind
194-1	C	1	w	w	ɣ	-	ɣʷ	ɣʷ	-	w	ɣ	w	ɣ	ɣ	w	-	ɣʷ	ɣ	ɣ	ɣ	ɣ	ɣ	165:2	breast
217-1	C	1	w	w	-	w	w	w	w	Ø	w	w	w	Ø	w	w	w	-	w	w	w	w	197:0	fat n.
245-1	C	1	w	w	w	l	w	w	l	w	l	w	l	w	w	l	w	w	w	Ø	w	Ø	225:0	kill
253-1	C	1	w	χ	χ	-	ɣ	ɣ	-	χ	j	χ	-	χ	Ø	-	ɣ	χ	ɣ	Ø	ɣ	ɣ	234:2	liver
265-1	C	1	w	χ	χ	-	ɣʷ	ɣʷ	-	χ	w	χ	-	χ	χ	-	ɣʷ	χ	ɣ	ɣ	ɣ	ɣ	242:2	meat
40-11	C	11	tʃ	ʃ	tʃ	s	tʃ	tʃ	ʃ	ʃ	s	s	ʃ	ʃ	ʃ	ʃ	tʃ	tʃ	tʃ	tʃ	tʃ	tʃ	167:3, 226:0, 226:3, 114:1, 128:2, 186:2, 240:0, 121:0, 122:0, 195:2, 217:2	all / black / claw (nail) / dry / egg / hand / knee / many / warm / yellow
5-34	C	34	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	156:2, 215:3, 230:4, 209:0, 237:0, 202:0, 202:2, 2:0, 214:3, 54:0, 130:4, 169:0, 186:0, 229:0, 229:5, 23:0, 89:0, 33:1, 94:2, 30:1, 43:4, 45:4, 52:3, 58:3, 71:3, 72:0, 85:7, 96:2, 104:0, 105:0, 112:2, 142:3, 160:0, 216:2	black / cloud / dry / far / fire / full / green / hair / hand / know / leaf / louse / moon / mouth / night / not / person / rain / road / root / round / see / seed / smoke / stand / stone / sun / that / two / wind / year
46-4	C	4	t	s	t	-	t	t	-	s	-	s	-	s	s	-	t	t	t	Ø	t	t	98:1, 150:2, 171:1, 185:3	cold / drink / swim / thin
21-3	C	3	t	t	t	tʲ	t	t	tʲ	t	t	t	tʲ	-	-	tʲ	t	t	t	t	t	t	48:3, 134:5, 117:2	heavy / rain / water
45-2	C	2	t	t	t	t	Ø	Ø	tʲ	t	t	Ø	tʲ	t	t	t	t	t	t	Ø	ŋ	ŋ	67:3, 106:0	say / this
111-1	C	1	t	-	-	Ø	Ø	Ø	Ø	t	Ø	-	Ø	t	t	Ø	t	-	t	Ø	t	Ø	36:2	not
118-1	C	1	t	t	t	-	Ø	Ø	-	t	ɣ	Ø	-	t	t	q	t	t	t	Ø	t	Ø	49:3	red
197-1	C	1	t	t	t	t	Ø	Ø	t	Ø	tː	Ø	t	Ø	t	t	Ø	t	Ø	Ø	Ø	Ø	166:4	burn tr.
243-1	C	1	t	t	t	tʲ	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	223:3	horn
261-1	C	1	t	t	t	-	t	t	-	t	-	t	-	t	t	-	t	t	t	Ø	t	t	237:3	louse
30-15	C	15	s	s	s	s	s	s	ʃ	s	s	s	ʃ	s	s	ʃ	s	s	s	s	s	s	188:0, 214:2, 9:0, 12:2, 28:0, 62:0, 63:0, 67:2, 75:3, 87:2, 97:0, 177:0, 196:0, 199:1, 222:0	all / die / dry / eye / green / heart / neck / salt / sand / say / sit / smoke / sun
76-6	C	6	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	1:0, 40:4, 35:0, 76:0, 92:0, 125:0	bark / belly / person / skin / star / white
70-3	C	3	s	s	s	sʲ	s	s	sʲ	s	Ø	s	sʲ	s	s	sʲ	s	s	s	s	s	s	81:1, 89:3, 93:2	small / stand / star
96-1	C	1	s	s	ʃ	Ø	Ø	Ø	Ø	s	Ø	s	Ø	s	s	Ø	s	ʃ	Ø	Ø	Ø	Ø	2:4	moon
59-18	C	18	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	44:0, 54:2, 174:3, 213:2, 13:4, 35:2, 56:2, 59:4, 110:2, 115:3, 125:3, 158:5, 162:2, 177:2, 188:2, 207:2, 232:2, 241:1	ashes / belly / bite / blood / cold / die / dry / egg / foot / green / many / rain / root / round / warm / white / worm
61-7	C	7	r	r	r	-	r	r	-	r	-	r	-	r	r	r	r	r	r	r	r	r	19:0, 24:2, 48:2, 49:2, 55:2, 61:4, 84:2	bark / mountain / rain / red / root / round / smoke
178-1	C	1	r	r	r	-	r	r	-	r	-	Ø	-	r	r	-	r	r	r	r	r	r	134:4	heavy
63-11	C	11	p	p	p	p	p	p	p	p	p	p	p	p	p	p	p	p	w	w	w	w	15:5, 218:0, 28:2, 45:2, 52:0, 59:0, 69:2, 85:5, 87:0, 195:0, 230:2	egg / head / leaf / moon / neck / rain / road / round / say / smoke
2-9	C	9	p	p	p	p	p	p	p	p	p	p	p	p	p	p	p	p	p	p	p	p	84:0, 109:0, 110:0, 142:0, 170:0, 182:2, 190:0, 200:0, 232:0	ashes / bite / black / cloud / dog / ear / feather / smoke / tooth
69-3	C	3	p	p	p	χ	p	Ø	χ	p	-	p	χ	Ø	p	-	p	p	Ø	w	w	w	12:0, 19:2, 166:2	burn tr. / die / mountain
109-1	C	1	p	p	p	p	p	p	p	p	p	p	p	p	p	p	p	p	-	-	-	-	29:4	new
231-1	C	1	p	p	p	-	p	p	-	p	-	p	-	p	p	-	p	p	w	w	w	w	215:1	hair
180-1	C	1	nː	ɳː	nː	Ø	Ø	Ø	Ø	nː	Ø	nː	Ø	Ø	Ø	Ø	ɳː	nː	ɳː	Ø	Ø	Ø	137:2	near
11-9	C	9	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	27:0, 127:0, 52:2, 74:1, 77:1, 107:0, 123:0, 168:2, 200:2	all / big / feather / name / road / sit / thou / white / woman
84-3	C	3	n	n	n	Ø	t	-	Ø	n	Ø	n	Ø	n	-	Ø	n	n	n	Ø	n	Ø	36:1, 71:2, 85:0	not / see / smoke
8-2	C	2	n	ɳ	n	Ø	ɳ	n	Ø	n	Ø	n	Ø	n	ɳ	Ø	ɳ	n	ɳ	ɳ	ɳ	ɳ	46:2, 140:2	belly / short
128-1	C	1	n	Ø	n	n	-	n	n	Ø	n	Ø	n	Ø	Ø	n	n	n	-	-	-	-	68:1	big
158-1	C	1	n	n	n	n	Ø	Ø	n	n	n	n	n	n	n	ɲ	n	n	n	Ø	n	n	113:2	walk(go)
199-1	C	1	n	-	n	n	ɳ	ɳ	n	-	n	-	n	-	-	n	ɳ	n	ɳ	ɳ	ɳ	ɳ	167:2	claw (nail)
247-1	C	1	n	-	n	n	ɳ	n	n	-	n	-	n	-	-	n	ɳ	n	ɳ	ɳ	ɳ	ɳ	226:2	knee
1-37	C	37	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	27:2, 108:4, 165:0, 212:2, 222:2, 118:0, 211:0, 224:0, 113:0, 191:0, 64:2, 114:3, 128:3, 174:5, 186:4, 238:2, 56:0, 122:2, 145:0, 145:5, 4:2, 13:2, 47:2, 61:2, 72:4, 75:1, 115:5, 119:0, 158:0, 168:4, 188:4, 194:0, 196:2, 221:4, 229:4, 234:0, 237:5	I / all / ashes / black / breast / cold / dry / earth / egg / eye / give / good / heart / know / liver / louse / man / name / rain / round / sand / seed / sit / snake / tongue / walk(go) / warm / we / what / worm / yellow
150-1	C	1	m	m	m	-	Ø	Ø	-	m	-	Ø	-	m	m	-	m	m	m	Ø	Ø	Ø	106:2	this
207-1	C	1	m	m	m	m	m	m	m	m	m	m	m	Ø	-	m	m	m	m	Ø	m	Ø	182:1	dog
95-1	C	1	l	ɬ	l	Ø	Ø	Ø	Ø	l	Ø	l	Ø	l	l	Ø	ɬ	l	Ø	Ø	Ø	Ø	2:2	moon
12-2	C	2	kʷ	k	k	k	kʷ	kʷ	k	k	k	k	k	k	k	ŋ	kʷ	k	k	k	k	k	51:2, 109:3	road / tooth
29-21	C	21	k	χ	χ	q	k	k	q	χ	χ	χ	q	χ	χ	q	k	χ	k	k	k	k	236:0, 239:0, 78:0, 233:0, 84:3, 97:3, 145:3, 43:0, 46:0, 62:3, 93:0, 96:0, 126:0, 131:0, 195:4, 204:0, 221:0, 228:0, 40:0, 176:0, 238:0	ashes / belly / die / egg / far / fish / know / lie / long / man / person / sand / sleep / smoke / snake / star / sun / who
42-6	C	6	k	k	k	Ø	k	k	χ	k	Ø	k	k	k	k	k	k	k	k	k	k	k	13:6, 95:0, 115:0, 116:3, 163:0, 207:0	blood / egg / foot / stone / warm / water
31-4	C	4	k	k	k	k	k	k	k	k	k	k	k	k	k	k	k	k	k	k	k	k	24:0, 112:0, 128:0, 216:0	bark / hand / two / yellow
198-1	C	1	k	k	k	kʷ	k	k	kʷ	k	kʷ	k	kʷ	k	k	k	k	k	k	k	k	k	167:0	claw (nail)
215-1	C	1	k	Ø	χ	Ø	kʷ	k	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	k	χ	k	k	Ø	k	194:2	egg
238-1	C	1	k	χ	χ	q	k	k	qʷ	χ	χ	χ	q	χ	χ	q	k	χ	k	k	k	k	220:0	hear
16-26	C	26	j	j	j	j	j	j	j	j	j	j	j	j	j	j	j	j	j	j	j	j	111:0, 212:0, 185:0, 185:4, 15:0, 183:1, 4:0, 43:2, 45:5, 47:0, 48:0, 58:0, 63:2, 67:0, 72:2, 82:1, 88:2, 98:2, 116:0, 150:3, 168:1, 171:2, 175:0, 197:2, 206:0, 217:0	all / bird / cold / come / drink / fat n. / fly v. / good / hand / moon / person / rain / round / sand / say / seed / small / swim / thin / tree / water
81-3	C	3	j	-	j	ʎ	ɣ	-	ʎ	j	ʎ	j	Ø	j	-	ʎ	j	j	j	Ø	j	j	37:1, 85:2, 221:2	ashes / one / smoke
105-1	C	1	j	j	j	j	j	j	ʎ	j	-	j	ʎ	j	j	-	j	j	j	j	j	j	29:0	new
138-1	C	1	j	ɬ	j	Ø	-	ɬ	Ø	-	Ø	Ø	Ø	-	Ø	Ø	j	j	l	Ø	j	j	90:1	stand
139-1	C	1	j	j	j	Ø	-	j	Ø	j	Ø	Ø	Ø	j	Ø	Ø	j	j	-	Ø	-	-	90:4	stand
170-1	C	1	j	j	j	n	Ø	Ø	ŋ	j	ŋ	j	n	j	j	n	j	j	j	Ø	j	Ø	126:2	who
85-3	C	3	-	j	-	j	Ø	Ø	jː	j	j	j	j	j	j	j	-	-	Ø	Ø	Ø	Ø	78:2, 233:2, 2:5	lie / moon / sleep
83-2	C	2	-	w	Ø	w	Ø	Ø	ɣ	-	w	j	w	-	j	n	w	w	Ø	Ø	Ø	Ø	65:2, 227:1	know / say
131-1	C	1	-	Ø	-	w	w	w	-	-	w	Ø	w	-	Ø	w	w	w	w	w	-	w	70:0	see
