ID	STRUCTURE	FREQUENCY	Beijing	Changsha	Chengdu	Guangzhou	Guixian	Hangzhou	Hefei	Jinan	Kunming	Meixian	Nanchang	Shanghai	Shexian	Taiyuan	Xiamen	COGNATESETS	CONCEPTS
13-3	V	3	ʅ	ʅ	ɿ	ɐ	ɿ	ə	ə	ʅ	ʅ	ə	ɨ	ə	i	ə	a	472:1, 720:1, 510:1	eleven / forefinger / ten
132-2	V	2	ʅ	ʅ	ɿ	y	ɿ	y	ə	ʅ	ʅ	u	-	Ø	u	ə	Ø	177:1, 396:5	fingernail / sweet potato
138-2	V	2	ʅ	ɿ	ɿ	Ø	ɿ	ɿ	Ø	ɿ	Ø	ɿ	ɿ	ɿ	ɿ	ɿ	Ø	645:4, 659:1	cook / self
291-1	V	1	ʅ	ʅ	Ø	i	Ø	Ø	ə	ʅ	ə	i	i	ɪ	i	Ø	i	225:2	sun
371-1	V	1	ʅ	ʅ	ɿ	i	ɿ	ə	ə	ʅ	ʅ	a	ɨ	ə	i	Ø	i	551:1	only
455-1	V	1	ʅ	ʅ	-	i	ɿ	ɿ	Ø	ʅ	ʅ	-	Ø	ɿ	Ø	ə	-	763:5	forefinger
485-1	V	1	ʅ	Ø	ɿ	ɐ	Ø	-	Ø	Ø	Ø	i	Ø	ə	Ø	Ø	i	831:6	sunflower
72-12	V	12	ɿ	ɿ	ɿ	i	ɿ	ɿ	ə	ɿ	ɿ	i	ɿ	ɿ	a	ə	Ø	3:1, 5:5, 160:5, 301:4, 371:10, 372:6, 438:4, 487:4, 526:5, 652:4, 734:9, 843:5	beggar / boy / chopsticks / die / house / mouse / neck / nose / son / spoon / table / wheat / window
52-2	V	2	ɿ	ɿ	ɿ	e	ɿ	ɿ	ɿ	ɿ	ɿ	i	ɿ	ɿ	ɿ	ɿ	i	136:1, 845:1	fat / four
352-1	V	1	ɿ	Ø	ɿ	Ø	ɿ	Ø	ə	ʅ	ɿ	ɿ	Ø	ɿ	Ø	ə	i	502:4	cook
434-1	V	1	ɿ	Ø	ɿ	Ø	Ø	Ø	ə	-	ɿ	Ø	Ø	Ø	Ø	ə	Ø	712:9	beggar
159-5	V	5	ɤ	o	o	ɔ	o	o	Ø	ə	ə	o	ɔ	o	ɔ	ɤ	o	95:5, 143:1, 144:1, 333:1, 392:4	and / forehead / how / rain / snow
450-1	V	1	ɤ	e	e	i	ɛ	ə	ɐ	ə	ə	a	ɛ	ɪ	e	a	a	748:1	hot
461-1	V	1	ɤ	Ø	ə	Ø	Ø	Ø	Ø	ə	Ø	Ø	Ø	Ø	Ø	a	Ø	764:1	here
67-3	V	3	ɛ	e	e	y	ɛ	ə	ɐ	ə	ɛ	e	ɵ	ɪ	e	ə	e	144:6, 191:6, 602:1	moon / snow
208-2	V	2	ɛ	e	e	u	ɛ	Ø	ɐ	ə	ɛ	-	Ø	a	Ø	Ø	Ø	289:2, 452:5	father / old man
404-1	V	1	ɛ	Ø	e	i	ɛ	ə	i	Ø	ɛ	a	ɛ	ɪ	Ø	Ø	a	646:2	freeze
198-6	V	6	ə	i	i	ɐ	ɛ	i	ə	i	Ø	Ø	Ø	i	ɛ	ə	e	42:5, 711:4, 382:12, 389:1, 550:9, 811:6	beggar / husband / man / rooster / wheat / wife / woman
80-4	V	4	ə	ə	ə	ɐ	e	e	ə	ẽ	ə̃	i	ɛ	i	ʌ̃	ə	Ø	8:4, 468:4, 642:4, 772:1	and / husband / man / wife / woman
255-3	V	3	ə	Ø	-	Ø	-	ɔ	ə	ə	Ø	e	ɛu	ɔ	ɔ	Ø	ã	3:4, 358:1, 496:2	classifier (pillow) / die / how
28-2	V	2	ə	o	o	o	Ø	o	ə	ə	o	u	u	o	ʌ̃	Ø	ɔ	273:5, 747:4	blow / catch a cold
40-2	V	2	ə	o	o	Ø	o	o	o	ə	ə	Ø	o	Ø	o	ɤ	Ø	587:4, 795:4	that / what kind of / who
93-2	V	2	ə	ə	ə	Ø	e	e	ə	ə	ə̃	Ø	ɑ	ã	ɛ	ə	i	221:1, 759:5	cold / spoon
130-2	V	2	ə	Ø	ə	u	Ø	e	ɑ̃	ə	Ø	a	ɨ	ə	Ø	ə	ã	367:1, 462:5	just right / right / window
188-2	V	2	ə	Ø	o	Ø	e	o	Ø	ə	o	Ø	Ø	o	ɛ	ə	ĩ	232:5, 239:5	blow / doctor
202-2	V	2	ə	Ø	o	-	o	Ø	Ø	ə	ə	Ø	-	ɤ	u	Ø	Ø	560:5, 883:4	knee / leg / this / under
231-2	V	2	ə	Ø	o	Ø	ə	Ø	ʊ	-	ə	Ø	ɛ	Ø	o	Ø	Ø	193:5, 539:7	become sick
252-2	V	2	ə	Ø	Ø	-	Ø	Ø	Ø	u	u	Ø	Ø	Ø	ʌ̃	ə	Ø	507:4, 699:5	cold / freeze / wife
270-1	V	1	ə	ə	ə	i	ɚ	ə	a	ə	ə	i	ɵ	i	a	ə	i	92:0	two
302-1	V	1	ə	ə	ə	i	ɚ	ə	a	ə	ə	o	ɵ	i	a	ə	-	306:0	twenty / two / two ounces
379-1	V	1	ə	ə	Ø	u	e	e	ə	Ø	ə̃	Ø	ɨ	Ø	Ø	Ø	Ø	564:1	doorsills
424-1	V	1	ə	ə	ə	i	ɚ	ə	Ø	ə	ə	i	ɵ	i	ɛ	ə	Ø	683:3	second
445-1	V	1	ə	ə	ə	ɐ	e	e	ə	Ø	ə̃	e	ɛ	ã	Ø	ə	i	737:3	doctor
502-1	V	1	ə	Ø	e	Ø	ɿ	Ø	Ø	ə	ʅ	Ø	Ø	Ø	Ø	Ø	Ø	883:1	this
155-11	V	11	ɑ	a	a	ɔ	a	ɑ	ɑ̃	a	ã̱	o	ɔ	ɑ̃	o	ɒ̃	a	5:1, 19:1, 124:1, 129:2, 181:1, 184:7, 231:1, 372:2, 494:4, 550:1, 861:1	dirty / fat / hail / house / husband / kitchen / moon / on / window
232-11	V	11	ɑ	a	a	ɔ	a	ɔ	ɑ̃	ɔ	ɔ	Ø	ɔ	-	ɔ	a	Ø	49:1, 61:1, 305:1, 371:2, 382:1, 408:2, 438:1, 526:2, 605:1, 641:1, 759:2	and / beggar / boy / breakfast / chicken / instead of / kitchen / mouse / old man / son / spoon
11-7	V	7	ɑ	a	a	œ	a	ɑ	ɑ̃	a	ã̱	o	ɔ	ã	a	ɒ̃	-	78:2, 300:2, 449:2, 517:1, 602:5, 664:1, 893:1	bedbug / daughter / doctor / girl / just right / long / moon / mother / soya sauce / well smelling
99-5	V	5	ɑ	a	a	o	a	ɔ	ɔ	ɔ	ɔ	a	ɑ	ɔ	ɔ	a	ɔ	260:4, 465:1, 539:4, 664:5, 797:1	become sick / breakfast / catch a cold / husband / just right / lunch
92-4	V	4	ɑ	a	a	œ	a	ɑ	ɑ̃	a	ã̱	o	ɔ	ɑ̃	a	ɒ̃	Ø	249:1, 273:1, 406:1, 462:1	catch a cold / in the middle / on / window
256-3	V	3	ɑ	Ø	-	Ø	a	ɑ	ɐ	ɔ	ə	Ø	ɔ	o	Ø	a	Ø	160:1, 371:7, 392:7	beggar / how / spoon
156-2	V	2	ɑ	a	a	o	a	ɔ	Ø	a	ɔ	Ø	ɔ	ɔ	ɔ	Ø	a	321:4, 556:1	bedbug / hail
161-2	V	2	ɑ	u	a	a	a	u	Ø	-	Ø	Ø	u	u	u	a	ɔ	219:1, 382:4	beggar / classifier (vehicle)
250-2	V	2	ɑ	Ø	Ø	Ø	Ø	Ø	ɑ̃	ã	Ø	Ø	Ø	Ø	ɛ	e	ũ	358:5, 840:2	how / salt
306-1	V	1	ɑ	a	a	œ	a	ɑ	ɑ̃	a	ã̱	o	ɔ	ã	i	ɒ̃	-	306:4	twenty / two / two ounces
325-1	V	1	ɑ	a	a	o	a	ɔ	Ø	ɔ	ɔ	a	ɑ	ɔ	Ø	a	o	383:1	nurse
344-1	V	1	ɑ	a	a	œ	a	ɑ	ɑ̃	a	ã̱	Ø	i	ã	a	ɒ̃	ɔ	456:5	sun
364-1	V	1	ɑ	a	a	o	a	ɔ	ɔ	ɔ	ɔ	a	ɑ	-	-	a	Ø	548:1	father / mother / mouse / old man / sun / wife
432-1	V	1	ɑ	Ø	a	Ø	Ø	Ø	ɔ	ɔ	-	Ø	Ø	Ø	Ø	a	Ø	712:2	beggar
463-1	V	1	ɑ	a	o	o	a	Ø	ɑ̃	a	ã̱	Ø	ɔ	Ø	a	ɒ̃	i	765:1	rainbow
470-1	V	1	ɑ	Ø	-	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	ɒ̃	Ø	787:1	lunch
480-1	V	1	ɑ	o	ə	œ	o	Ø	Ø	ə	o	Ø	ɔ	a	ɔ	a	Ø	816:5	sparrow
190-3	V	3	Ø	a	a	a	a	ɔ	ɔ	a	ə	a	ɑ	ɔ	ɔ	a	a	73:1, 217:1, 466:1	boy / father / left hand / on / there / wheat
197-3	V	3	Ø	a	a	a	a	ẽ̞	ɪ̃	ɛ	ɛ̃	a	o	i	e	a	Ø	71:6, 302:1, 320:1	chimney / here / in the middle / what kind of / where
245-3	V	3	Ø	a	a	y	a	ɑ	ɔ	ɔ	ɔ	a	ɵ	ɪ	i	Ø	Ø	184:2, 650:2, 660:1	classifier (cow) / moon / nose
129-2	V	2	Ø	ɿ	ɿ	-	ɿ	ɔ	ə	Ø	Ø	e	ɿ	ɿ	-	-	Ø	218:4, 302:12	here / humpback / what kind of / where
141-2	V	2	Ø	a	a	ɐ	a	ẽ̞	æ̃	ã	Ø	Ø	ɵ	ø	-	æ̃	a	260:1, 408:5	catch a cold / spoon
177-2	V	2	Ø	i	i	i	ɿ	ɑ	ɿ	i	ɿ	Ø	i	o	Ø	i	e	426:1, 503:1	self / under
192-2	V	2	Ø	i	-	ɐ	Ø	Ø	Ø	Ø	ə	i	i	e	Ø	ə	i	230:1, 256:5	thunder (verb) / today
207-2	V	2	Ø	ʅ	i	ɐ	i	Ø	Ø	ẽ	ʅ	i	i	Ø	Ø	ə	i	230:5, 733:1	today
240-2	V	2	Ø	a	Ø	Ø	Ø	ɑ	Ø	a	a̱	Ø	Ø	a	a	ə	Ø	390:1, 498:1	and / there
269-1	V	1	Ø	o	o	Ø	a	i	Ø	Ø	ã̱	Ø	o	Ø	o	Ø	Ø	90:4	chicken / wife
284-1	V	1	Ø	Ø	a	a	a	e	ɿ	a	Ø	a	ɑ	Ø	ɛ	Ø	e	217:4	boy / father / left hand / wheat
309-1	V	1	Ø	e	e	ɐ	o	ə	ə	e	ə	e	o	e	o	a	e	307:1	classifier (person)
316-1	V	1	Ø	-	e	-	ɛ	ə	ɐ	Ø	ə	-	ɛ	Ø	Ø	Ø	Ø	336:1	fingernail / knee
317-1	V	1	Ø	i	i	ɐ	i	o	ə	Ø	i	i	i	Ø	Ø	Ø	Ø	336:4	fingernail / knee
337-1	V	1	Ø	Ø	əu	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	əu	Ø	434:4	right
356-1	V	1	Ø	a	a	Ø	Ø	i	a	a	Ø	Ø	ɑ	i	Ø	a	e	503:4	under
384-1	V	1	Ø	Ø	ə	Ø	Ø	Ø	Ø	ẽ	Ø	Ø	Ø	ə	ʌ̃	Ø	Ø	595:1	doorsills
392-1	V	1	Ø	a	Ø	ɔ	a	ɑ	ɑ̃	a	a	Ø	ɔ	Ø	o	a	-	625:2	classifier (pillow)
402-1	V	1	Ø	a	a	Ø	a	ɑ	ɑ̃	a	ã̱	u	ɔ	ɑ̃	o	Ø	a	643:2	classifier (pair)
408-1	V	1	Ø	u	u	Ø	o	Ø	-	-	-	u	Ø	Ø	Ø	Ø	Ø	650:6	classifier (cow)
473-1	V	1	Ø	ʅ	Ø	Ø	e	Ø	Ø	Ø	ə	Ø	Ø	Ø	a	Ø	Ø	792:1	flash (verb)
489-1	V	1	Ø	a	a	ɐ	a	Ø	Ø	Ø	ɔ	Ø	Ø	Ø	u	Ø	a	841:1	head
495-1	V	1	Ø	Ø	a	Ø	Ø	ɔ	ɔ	ɔ	ɔ	a	ɑ	ɔ	ɔ	Ø	a	850:1	mouse
114-3	V	3	y	y	y	ø	i	y	y	y	i	Ø	Ø	y	y	y	u	170:9, 468:1, 711:1	daughter / wife / woman
184-3	V	3	y	y	y	y	i	y	y	y	i	i	y	y	y	y	ɔ	143:4, 192:4, 500:1	daughter / girl / rain
181-2	V	2	w	Ø	w	Ø	Ø	Ø	-	w	Ø	Ø	Ø	Ø	Ø	w	-	170:4, 179:4	daughter / leg
106-10	V	10	u	o	o	o	o	o	ə	u	o	u	u	o	ʌ̃	ə	a	54:5, 71:1, 74:1, 339:1, 406:5, 511:4, 668:1, 699:1, 797:4, 893:5	bedbug / chimney / cold / doctor / freeze / from / husband / in the middle / lunch / sweet potato
242-5	V	5	u	u	u	-	o	Ø	Ø	u	o	u	u	Ø	-	u	Ø	129:6, 302:7, 408:6, 645:7, 686:6	classifier (pig) / cook / here / spoon / what kind of / where / window
150-4	V	4	u	y	u	ø	u	y	ə	u	u	u	y	ɿ	y	u	u	241:1, 494:1, 668:5, 850:4	daughter / kitchen / mouse / sweet potato
229-3	V	3	u	Ø	u	œ	o	Ø	Ø	-	o	Ø	ɔ	a	a	u	Ø	349:3, 382:5, 560:2	beggar / knee / leg / outside / under
257-3	V	3	u	ə	ə	ɐ	o	-	ɔ	ɔ	Ø	Ø	Ø	ɔ	Ø	ə	a	371:3, 607:7, 836:5	beggar / forehead / noodles / on
96-2	V	2	u	o	u	o	u	u	ə	u	u	e	u	u	u	u	u	383:5, 539:1	become sick / nurse
272-1	V	1	u	Ø	e	o	u	ə	ə	u	u	e	Ø	u	i	a	e	110:1	chicken / leg / mother / son / sparrow / star
275-1	V	1	u	ə	u	Ø	u	u	u	u	u	ɿ	u	u	u	u	Ø	126:1	thick
301-1	V	1	u	əu	əu	Ø	əu	ø	ɯ	u	əu	Ø	u	ɤ	u	əu	Ø	300:10	soya sauce
331-1	V	1	u	a	i	ɐ	o	Ø	ə	u	o	e	i	o	i	ə	Ø	411:1	rooster
350-1	V	1	u	Ø	u	Ø	u	Ø	u	u	u	u	Ø	ɿ	Ø	u	ɔ	502:1	cook
360-1	V	1	u	y	u	y	u	y	u	u	u	Ø	y	Ø	y	u	i	523:1	pig
361-1	V	1	u	u	Ø	Ø	-	Ø	u	Ø	u	u	Ø	Ø	Ø	u	ɔ	545:1	on purpose
441-1	V	1	u	u	u	-	u	Ø	-	-	Ø	Ø	u	-	Ø	u	Ø	734:4	chopsticks
471-1	V	1	u	Ø	u	Ø	Ø	Ø	Ø	u	Ø	Ø	Ø	Ø	Ø	-	Ø	787:3	lunch
34-12	V	12	o	ə	ə	ɐ	ə	e	ɯ	o	ə	e	ɛ	ɤ	u	ə	a	31:1, 49:4, 73:4, 249:5, 304:5, 336:7, 510:4, 532:5, 563:5, 626:1, 656:5, 848:1	fingernail / fist / forefinger / head / knee / left hand / old man / on / outside / stairs / thin / under
225-7	V	7	o	o	o	o	o	o	Ø	ə	o	u	o	o	ʌ̃	a	Ø	82:0, 82:4, 811:2, 44:1, 317:1, 320:4, 487:1	and / chimney / dirty / left / neck / rooster
86-5	V	5	o	ə	ə	ɐ	ə	e	ɯ	o	ə	u	ɨ	ɤ	u	ə	u	54:1, 68:4, 528:5, 723:1, 763:1	bedbug / forefinger / left hand / on purpose / right hand
64-4	V	4	o	o	o	ɔ	o	o	ʊ	ə	o	o	o	u	o	ɤ	o	68:1, 218:1, 546:1, 821:1	humpback / left / left hand / we
51-2	V	2	o	o	o	ɔ	o	o	ʊ	ə	o	Ø	o	u	ɔ	ɤ	a	291:1, 841:5	I / head
70-2	V	2	o	ə	ə	ɐ	ə	ø	ɯ	o	ə	u	u	ɤ	e	ə	u	224:1, 885:4	bedbug / right / right hand
280-1	V	1	o	ə	ə	ɐ	ə	e	ɯ	o	ə	u	ɨ	ɤ	u	ə	a	188:1	stinky
288-1	V	1	o	ə	ə	ɐ	ə	ẽ̞	ɯ	o	ə	u	ɨ	ɤ	Ø	ə	u	224:5	right / right hand
292-1	V	1	o	ə	Ø	ɐ	Ø	Ø	ɯ	o	ə	e	u	ɤ	u	Ø	a	225:6	sun
294-1	V	1	o	o	o	ɔ	o	o	u	ə	o	Ø	o	u	o	ɤ	e	277:1	spinach
297-1	V	1	o	ə	ə	Ø	ə	-	-	o	ə	Ø	-	-	-	ə	Ø	300:6	soya sauce
300-1	V	1	o	i	i	Ø	i	-	-	o	i	Ø	-	-	-	i	Ø	300:9	soya sauce
311-1	V	1	o	ə	ə	ɐ	ə	ø	ɯ	o	ə	u	u	ɤ	u	ə	a	311:2	nine
399-1	V	1	o	ə	ə	Ø	ə	e	ɯ	o	Ø	Ø	ɛ	ã	u	ə	a	630:4	inside
410-1	V	1	o	o	o	Ø	o	o	ɐ	ə	o	Ø	ɔ	Ø	Ø	a	Ø	652:1	table
435-1	V	1	o	ə	u	o	u	o	ə	o	u	u	u	o	o	ə	a	729:1	six
458-1	V	1	o	a	ɿ	ɐ	ə	e	Ø	o	ə	ɿ	Ø	ɤ	Ø	ə	ã	763:8	forefinger
299-1	V	1	j	-	-	Ø	-	j	j	j	-	Ø	j	j	j	-	Ø	300:8	soya sauce
436-1	V	1	j	-	-	k	-	ʔ	ʔ	j	-	k	ʔ	ʔ	-	-	k	729:2	six
12-8	V	8	i	i	i	ɐ	i	ə	ə	i	i	i	i	ɪ	i	ə	i	266:3, 472:4, 485:1, 584:0, 10:1, 301:1, 507:1, 885:1	bedbug / eleven / first / inside / nose / one / seven / wife
167-6	V	6	i	i	i	e	i	i	i	i	i	-	-	-	-	i	i	9:1, 165:1, 170:6, 408:4, 434:3, 605:4	chicken / daughter / right / spoon / thou / you
9-4	V	4	i	i	i	ɐ	i	i	ɿ	i	i	i	i	i	i	i	e	266:1, 683:1, 867:1, 888:1	first / instead of / second / tiny
109-4	V	4	i	i	i	e	i	i	ɿ	i	i	i	i	i	i	i	i	426:4, 545:3, 661:5, 747:1	blow / cheap / on purpose / self
238-4	V	4	i	i	i	-	i	i	Ø	i	Ø	i	i	Ø	i	ɤ	a	247:4, 498:4, 499:1, 686:4	classifier (pig) / inside / there / where
239-4	V	4	i	a	i	Ø	i	ɔ	u	-	ĩ	a	ɑ	Ø	Ø	i	Ø	193:1, 349:5, 382:3, 444:1	become sick / beggar / cabbage / outside
175-3	V	3	i	i	i	ɐ	i	Ø	ɿ	i	i	u	i	ã	Ø	i	i	31:5, 256:9, 302:9	here / stairs / thunder (verb) / what kind of / where
237-3	V	3	i	i	i	Ø	o	o	-	i	o	i	i	i	i	i	-	90:1, 179:6, 723:3	chicken / leg / on purpose / wife
89-2	V	2	i	i	i	-	i	Ø	-	-	-	i	i	-	Ø	i	Ø	650:4, 734:6	chopsticks / classifier (cow)
274-1	V	1	i	Ø	ə	o	i	ɿ	ɿ	i	i	e	Ø	i	-	-	u	110:4	chicken / leg / mother / son / sparrow / star
335-1	V	1	i	o	o	o	i	Ø	ɿ	i	i	u	u	i	ʌ̃	i	Ø	411:5	rooster
369-1	V	1	i	ɿ	ɿ	-	-	-	ə	ə	-	-	-	a	e	ə	Ø	548:6	father / mother / mouse / old man / sun / wife
374-1	V	1	i	i	i	e	i	i	i	i	ĩ	Ø	ɑ	i	e	i	ĩ	553:1	star
377-1	V	1	i	ɿ	i	-	u	-	-	-	ə	Ø	ɿ	-	ʌ̃	ə	-	553:5	star
397-1	V	1	i	i	i	Ø	i	i	ɿ	i	Ø	Ø	i	i	i	i	a	630:1	inside
405-1	V	1	i	Ø	i	e	i	i	i	Ø	ĩ	e	i	i	Ø	Ø	i	646:6	freeze
423-1	V	1	i	i	i	ɛ	i	i	Ø	i	ĩ	Ø	i	Ø	ʌ̃	ə	Ø	678:5	clean
426-1	V	1	i	i	i	ɐ	i	Ø	i	ẽ	ĩ	i	i	i	Ø	ə	i	687:1	this year
444-1	V	1	i	i	i	i	i	i	ɿ	Ø	i	i	i	i	Ø	i	i	737:0	doctor
187-6	V	6	e	e	e	ɐ	e	i	e	e	Ø	i	i	e	e	e	i	170:2, 170:5, 566:1, 179:2, 365:2, 831:11	daughter / leg / sunflower / who
182-2	V	2	e	a	e	Ø	Ø	i	-	e	Ø	Ø	ɑ	a	a	e	-	179:5, 612:1	leg / supper
499-1	V	1	e	e	e	Ø	e	e	-	e	Ø	Ø	i	-	-	Ø	Ø	870:4	thunder (verb)
203-19	V	19	a	a	a	a	a	ẽ̞	a	a	a̱	a	a	i	a	a	e	191:2, 192:2, 419:1, 419:4, 116:5, 392:1, 302:5, 302:8, 434:8, 546:5, 211:2, 212:1, 396:1, 424:2, 550:6, 645:1, 672:2, 677:4, 712:6	beggar / boy / classifier (vehicle) / cook / dirty / here / how / husband / left / rain / right / salt / snow / son / sweet potato / under / what kind of / where
241-11	V	11	a	ẽ	a	œ	a	ẽ̞	e̞	ɛ	ɛ̃	o	ɛ	-	a	ɒ̃	i	10:5, 181:6, 349:1, 349:9, 424:6, 44:5, 116:1, 211:6, 222:1, 256:2, 400:1	inside / left / nurse / on / outside / salt / thunder (verb) / under / wife
144-9	V	9	a	a	a	a	a	ẽ̞	æ̃	ã	ã̱	a	Ø	ø	ɛ	æ̃	a	762:1, 762:5, 8:1, 42:1, 382:8, 530:4, 532:1, 641:4, 677:1	beggar / boy / breakfast / husband / kitchen / left hand / man / son / supper
38-7	V	7	a	a	a	a	a	ẽ̞	æ̃	ã	ã̱	a	a	e	ɛ	æ̃	ã	87:1, 235:1, 339:5, 465:4, 595:4, 612:4, 714:1	breakfast / doorsills / lunch / rainbow / supper / three / watery
